"feature","count","proportion"
"cube_Effect_Size_SpC_microsiemens_per_cm",37,0.37
"cube_Effect_Size_pH",28,0.28
"cube_Effect_Size_Temperature_degC",21,0.21
"cube_Effect_Size_Fe_mg_per_kg",18,0.18
"cube_Effect_Size_ATP_picomoles_per_g",36,0.36
"cube_Effect_Size_Extractable_NPOC_mg_per_kg",16,0.16
"cube_Effect_Size_Extractable_TN_mg_per_kg",14,0.14
"cube_Effect_Size_C_percent_per_mg",22,0.22
"cube_Effect_Size_N_percent_per_mg",28,0.28
"cube_Percent_Tot_Sand",3,0.03
"cube_Percent_Coarse_Sand",7,0.07
"cube_Percent_Med_Sand",26,0.26
"cube_Percent_Fine_Sand",53,0.53
"cube_Percent_Clay",7,0.07
"cube_Mean_Specific_Surface_Area_m2_per_g",7,0.07
"cube_Median_SpC_microsiemens_per_cm",48,0.48
"cube_Median_pH",16,0.16
"cube_Median_Temperature_degC",10,0.1
"cube_Median_ATP_picomoles_per_g",52,0.52
"cube_Median_Fe_mg_per_kg",4,0.04
"cube_Median_X01395_C_percent_per_mg",33,0.33
"cube_Median_X01397_N_percent_per_mg",46,0.46
"cube_Median_Extractable_NPOC_mg_per_kg",8,0.08
"cube_Median_Extractable_TN_mg_per_kg",10,0.1
"cube_median_Dry_Initial_Gravimetric",15,0.15
"cube_median_Dry_Final_Gravimetric",0,0
