"feature","cluster","individual_cor","selected","rank_in_cluster"
"cube_Median_SpC_microsiemens_per_cm",1,0.252468102658819,FALSE,1
"cube_median_Dry_Initial_Gravimetric",1,0.21117605534802,FALSE,2
"cube_Median_Extractable_TN_mg_per_kg",1,0.191391862837265,FALSE,3
"cube_median_Dry_Final_Gravimetric",1,0.158402077975816,FALSE,4
"cube_Effect_Size_Extractable_TN_mg_per_kg",1,0.157649128852712,FALSE,5
"cube_Effect_Size_SpC_microsiemens_per_cm",1,0.145081427169066,FALSE,6
"cube_Median_Extractable_NPOC_mg_per_kg",1,0.139483042344729,FALSE,7
"cube_Effect_Size_pH",2,0.114151463015856,FALSE,1
"cube_Effect_Size_Temperature_degC",2,0.0746742406326071,FALSE,2
"cube_Effect_Size_N_percent_per_mg",2,0.0723374437682522,FALSE,3
"cube_Percent_Fine_Sand",3,0.603401132933396,FALSE,1
"cube_Percent_Coarse_Sand",3,0.544874657609514,FALSE,2
"cube_Effect_Size_Fe_mg_per_kg",3,0.495282455363806,FALSE,3
"cube_Percent_Tot_Sand",3,0.311738338524545,FALSE,4
"cube_Median_Fe_mg_per_kg",3,0.305706820267068,FALSE,5
"cube_Mean_Specific_Surface_Area_m2_per_g",3,0.20832158494061,FALSE,6
"cube_Percent_Clay",3,0.166168019998802,FALSE,7
"cube_Median_ATP_picomoles_per_g",4,0.578559675803021,FALSE,1
"cube_Median_X01395_C_percent_per_mg",4,0.475727951147914,FALSE,2
"cube_Median_X01397_N_percent_per_mg",4,0.451262608898876,FALSE,3
"cube_Effect_Size_ATP_picomoles_per_g",4,0.318284851991912,FALSE,4
"cube_Effect_Size_Extractable_NPOC_mg_per_kg",4,0.0275712819858181,FALSE,5
"cube_Percent_Med_Sand",5,0.0149288741733975,FALSE,1
"cube_Effect_Size_C_percent_per_mg",5,0.00994104810605876,FALSE,2
"cube_Median_pH",6,0.0180361910282365,FALSE,1
"cube_Median_Temperature_degC",6,0.00732213803753139,FALSE,2
