"Var1","Var2","Correlation"
"cube_median_Dry_Initial_Gravimetric","cube_median_Dry_Final_Gravimetric",0.972662399448297
"cube_Percent_Coarse_Sand","cube_Percent_Fine_Sand",-0.888012459566843
"cube_Percent_Tot_Sand","cube_Percent_Clay",-0.788432342481377
"cube_Percent_Tot_Sand","cube_Mean_Specific_Surface_Area_m2_per_g",-0.737839956098041
"cube_Percent_Clay","cube_Mean_Specific_Surface_Area_m2_per_g",0.707091292066435
"cube_Median_X01395_C_percent_per_mg","cube_median_Dry_Initial_Gravimetric",0.684722815558797
"cube_Median_SpC_microsiemens_per_cm","cube_Median_Extractable_TN_mg_per_kg",0.647689151467658
"cube_Median_X01395_C_percent_per_mg","cube_median_Dry_Final_Gravimetric",0.619010823604783
"cube_Median_X01395_C_percent_per_mg","cube_Median_X01397_N_percent_per_mg",0.61409676530626
"cube_Median_Extractable_NPOC_mg_per_kg","cube_median_Dry_Initial_Gravimetric",0.604290620616289
"cube_Mean_Specific_Surface_Area_m2_per_g","cube_Median_X01395_C_percent_per_mg",0.600044716461841
"cube_Effect_Size_Fe_mg_per_kg","cube_Median_Fe_mg_per_kg",0.592025978617882
"cube_Percent_Fine_Sand","cube_Median_ATP_picomoles_per_g",0.583160376668059
"cube_Effect_Size_Extractable_TN_mg_per_kg","cube_Percent_Tot_Sand",-0.559048941128679
"cube_Mean_Specific_Surface_Area_m2_per_g","cube_Median_Fe_mg_per_kg",0.557029004005159
"cube_Effect_Size_Fe_mg_per_kg","cube_Percent_Coarse_Sand",-0.55696036446501
"cube_Percent_Tot_Sand","cube_Median_Fe_mg_per_kg",-0.554974783273788
"cube_Effect_Size_Fe_mg_per_kg","cube_Percent_Fine_Sand",0.553382661331393
"cube_Mean_Specific_Surface_Area_m2_per_g","cube_median_Dry_Initial_Gravimetric",0.536842020220504
"cube_Percent_Tot_Sand","cube_Percent_Coarse_Sand",0.533998664685203
"cube_Median_Extractable_NPOC_mg_per_kg","cube_median_Dry_Final_Gravimetric",0.53030463127203
"cube_Percent_Coarse_Sand","cube_Mean_Specific_Surface_Area_m2_per_g",-0.527855573238551
"cube_Median_ATP_picomoles_per_g","cube_Median_X01395_C_percent_per_mg",0.527676464570007
"cube_Percent_Coarse_Sand","cube_Median_Fe_mg_per_kg",-0.524029693968805
"cube_Effect_Size_Fe_mg_per_kg","cube_Percent_Tot_Sand",-0.522784546223229
"cube_Percent_Coarse_Sand","cube_Median_X01395_C_percent_per_mg",-0.516471795874365
"cube_Effect_Size_Extractable_TN_mg_per_kg","cube_Mean_Specific_Surface_Area_m2_per_g",0.501593475382976
"cube_Median_Fe_mg_per_kg","cube_median_Dry_Initial_Gravimetric",0.500180963690504
