"Variable","VIF"
"cube_median_Dry_Initial_Gravimetric",90.9994908953879
"cube_median_Dry_Final_Gravimetric",66.411816207778
"cube_Percent_Coarse_Sand",23.2085506948306
"cube_Percent_Fine_Sand",14.7097771486394
"cube_Percent_Tot_Sand",11.3910982107278
"cube_Median_X01395_C_percent_per_mg",9.25452766043943
"cube_Median_SpC_microsiemens_per_cm",8.57980125094222
"cube_Percent_Clay",8.32507287377334
"cube_Mean_Specific_Surface_Area_m2_per_g",7.80745498290833
"cube_Effect_Size_Fe_mg_per_kg",6.45361995848363
"cube_Median_Fe_mg_per_kg",6.39740895078066
"cube_Median_Extractable_TN_mg_per_kg",6.25399545636537
"cube_Median_ATP_picomoles_per_g",4.92550555220955
"cube_Median_Extractable_NPOC_mg_per_kg",4.85184826697072
"cube_Percent_Med_Sand",4.56301655969497
"cube_Median_pH",4.45986627743675
"cube_Effect_Size_Extractable_TN_mg_per_kg",4.42247565186955
"cube_Effect_Size_Temperature_degC",3.97466937702399
"cube_Median_X01397_N_percent_per_mg",3.88033977868872
"cube_Effect_Size_C_percent_per_mg",3.68365839264003
"cube_Effect_Size_SpC_microsiemens_per_cm",3.47644558167709
"cube_Effect_Size_ATP_picomoles_per_g",2.74367649049448
"cube_Median_Temperature_degC",2.530526997408
"cube_Effect_Size_N_percent_per_mg",2.17231068157217
"cube_Effect_Size_Extractable_NPOC_mg_per_kg",2.00642433774477
"cube_Effect_Size_pH",1.92087599215632
