"","cube_Effect_Size_SpC_microsiemens_per_cm","cube_Effect_Size_pH","cube_Effect_Size_Temperature_degC","cube_Effect_Size_Fe_mg_per_kg","cube_Effect_Size_ATP_picomoles_per_g","cube_Effect_Size_Extractable_NPOC_mg_per_kg","cube_Effect_Size_Extractable_TN_mg_per_kg","cube_Effect_Size_C_percent_per_mg","cube_Effect_Size_N_percent_per_mg","cube_Percent_Tot_Sand","cube_Percent_Coarse_Sand","cube_Percent_Med_Sand","cube_Percent_Fine_Sand","cube_Percent_Clay","cube_Mean_Specific_Surface_Area_m2_per_g","cube_Median_SpC_microsiemens_per_cm","cube_Median_pH","cube_Median_Temperature_degC","cube_Median_ATP_picomoles_per_g","cube_Median_Fe_mg_per_kg","cube_Median_X01395_C_percent_per_mg","cube_Median_X01397_N_percent_per_mg","cube_Median_Extractable_NPOC_mg_per_kg","cube_Median_Extractable_TN_mg_per_kg","cube_median_Dry_Initial_Gravimetric","cube_median_Dry_Final_Gravimetric"
"cube_Effect_Size_SpC_microsiemens_per_cm",1,-0.0072735630473277,-0.0434727195216972,-0.00505114926565549,0.101125028732618,0.227330715068662,0.492372059798969,-0.0789911970261187,0.226188434923216,-0.150343138554425,-0.0576064494919211,0.0348240936919718,0.0714212824270979,0.142882683536311,-0.0626546595780297,-0.343069976386541,-0.000867413322730433,-0.0926800913268249,0.124901145478027,0.262302609845807,0.0504426815014904,0.148463074593754,0.228532067962651,-0.182254196642686,0.269601033835701,0.238255788840741
"cube_Effect_Size_pH",-0.0072735630473277,1,-0.211289728010738,0.101469996209318,-0.0924867369875673,0.111692492725055,-0.116632221495746,-0.157736104202148,-0.133905861033563,-0.0507886306730108,0.000408350799380992,-0.00671226626482505,0.0245820042214054,0.0195077112650604,0.210494096764198,-0.281543510608952,-0.210785578255476,-0.0182621592691216,0.0585443086781124,0.0165884048128915,-0.204196239231218,0.193650564616365,-0.202945169657368,-0.0454278674534853,-0.0982275181554199,-0.032768883461197
"cube_Effect_Size_Temperature_degC",-0.0434727195216972,-0.211289728010738,1,0.0604551429309195,0.0260725788241594,0.0769291142849679,0.0112187663281799,0.169922594372039,0.237179300363005,0.00950503062988861,-0.0749495038192856,-0.0458630712906647,0.114340489701092,-0.08875438730007,-0.22556416301459,0.0144385994285186,-0.117903931857088,-0.119761592571325,0.0800355457530472,-0.0524048446884001,-0.0218430236466862,-0.249315017957942,-0.200379631917214,-0.156829004296015,-0.0385930722770789,-0.0688975411869596
"cube_Effect_Size_Fe_mg_per_kg",-0.00505114926565549,0.101469996209318,0.0604551429309195,1,-0.313061224489796,0.266972830339138,0.13117681577778,-0.12537073002068,-0.192495884882111,-0.653247615524533,-0.574978315968598,0.0080616358082384,0.558240427059426,0.340326741634696,0.481428571428571,0.151122448979592,-0.234093576507581,0.0102124217089392,0.52969387755102,0.580612244897959,0.478950865437569,0.213791585760615,0.175157529585811,0.178422919010073,0.227725366765301,0.0968112841180144
"cube_Effect_Size_ATP_picomoles_per_g",0.101125028732618,-0.0924867369875673,0.0260725788241594,-0.313061224489796,1,-0.191810181430585,0.0554605985027022,0.0628642470140383,-0.0550353926192204,0.316189601921857,0.26516659047731,0.0166845247423668,-0.334158361494206,-0.155079142205821,-0.135612244897959,-0.0540816326530612,0.197203939233174,-0.250919201388636,-0.429183673469388,-0.338163265306122,-0.313007096590033,-0.134187792543324,-0.124186841541469,-0.154085563457369,-0.157263257766172,-0.116367571996284
"cube_Effect_Size_Extractable_NPOC_mg_per_kg",0.227330715068662,0.111692492725055,0.0769291142849679,0.266972830339138,-0.191810181430585,1,-0.00668469667205268,-0.0430393892436336,0.0321550100983894,-0.23680249093432,0.0720026537460028,-0.181001710019186,0.0361353546515898,0.104709643923364,0.114810563505937,-0.0410256413594546,-0.211287730570747,-0.0657253175630651,0.280035721120258,0.0888888896121517,0.143152415265162,0.155934055402142,0.0266877584693401,0.0467673625949334,0.0740457191578071,0.00827290551011856
"cube_Effect_Size_Extractable_TN_mg_per_kg",0.492372059798969,-0.116632221495746,0.0112187663281799,0.13117681577778,0.0554605985027022,-0.00668469667205268,1,0.177174367189285,0.234661541754314,-0.327167895608679,-0.423756920310368,0.129601755278547,0.271446803308134,0.229485210374236,0.214648332935481,-0.267455802530971,-0.0998545807402034,-0.336150435925338,0.0480114288786042,0.460164800272191,0.18472686599433,0.228349740183411,0.358640746976887,-0.257155977345783,0.343792378942381,0.289215771108864
"cube_Effect_Size_C_percent_per_mg",-0.0789911970261187,-0.157736104202148,0.169922594372039,-0.12537073002068,0.0628642470140383,-0.0430393892436336,0.177174367189285,1,0.2344226137823,-0.0214413798477207,0.0978534486733285,-0.374138022611003,-0.227973574165342,0.140084989927579,-0.15363408660504,0.23310880539108,0.21446491022893,0.0661637109085457,-0.215271714165146,0.0838189960187178,0.0396667675858901,0.151198246767831,0.0567581522468488,0.0883188537438584,0.00214822872656233,-0.00350374827591218
"cube_Effect_Size_N_percent_per_mg",0.226188434923216,-0.133905861033563,0.237179300363005,-0.192495884882111,-0.0550353926192204,0.0321550100983894,0.234661541754314,0.2344226137823,1,0.0619243756484031,-0.00455665103985769,-0.0354036426299055,0.0410683927300159,-0.050427915591507,-0.225312337597385,-0.0321509084324376,0.0704488969757773,-0.163268477700755,-0.039267112687388,0.121999386615444,-0.140374537650729,-0.112591656211206,0.100781334120949,-0.0769491212516056,0.0819759031883942,0.114897287396419
"cube_Percent_Tot_Sand",-0.150343138554425,-0.0507886306730108,0.00950503062988861,-0.653247615524533,0.316189601921857,-0.23680249093432,-0.327167895608679,-0.0214413798477207,0.0619243756484031,1,0.767986529237677,-0.0838095724053475,-0.781520337048338,-0.515952885125625,-0.633858871175606,-0.156691668146203,0.0375293397285437,0.0135576815547102,-0.585744171383398,-0.59676514185542,-0.671080836318209,-0.400439254963311,-0.297165599504826,-0.186493864387043,-0.537300995133792,-0.401460523147354
"cube_Percent_Coarse_Sand",-0.0576064494919211,0.000408350799380992,-0.0749495038192856,-0.574978315968598,0.26516659047731,0.0720026537460028,-0.423756920310368,0.0978534486733285,-0.00455665103985769,0.767986529237677,1,-0.457852842126748,-0.902829890133126,-0.417862109547423,-0.520587785768712,-0.129700495092038,0.0630676599653026,0.113159406121423,-0.51058727552558,-0.559416297478012,-0.502449482102512,-0.27421050741558,-0.30754904722104,-0.0550297216802807,-0.432444963439114,-0.31802291251103
"cube_Percent_Med_Sand",0.0348240936919718,-0.00671226626482505,-0.0458630712906647,0.0080616358082384,0.0166845247423668,-0.181001710019186,0.129601755278547,-0.374138022611003,-0.0354036426299055,-0.0838095724053475,-0.457852842126748,1,0.386996357190554,0.0057685441792021,0.0380631665376319,-0.246492168288606,-0.0557965098479437,-0.255042713841809,0.263993061214085,0.133833359019046,-0.0182945500034278,-0.096280058050666,-0.0420950583089769,-0.288287369025115,-0.0303308901030622,-0.0475145022626066
"cube_Percent_Fine_Sand",0.0714212824270979,0.0245820042214054,0.114340489701092,0.558240427059426,-0.334158361494206,0.0361353546515898,0.271446803308134,-0.227973574165342,0.0410683927300159,-0.781520337048338,-0.902829890133126,0.386996357190554,1,0.405657262427349,0.471996134004263,0.105228243952513,-0.124422671611575,-0.152991675818699,0.618866592828381,0.549156708619296,0.516294501959709,0.237538341877776,0.276141878680262,0.0350854817210645,0.427644912231517,0.318284013455665
"cube_Percent_Clay",0.142882683536311,0.0195077112650604,-0.08875438730007,0.340326741634696,-0.155079142205821,0.104709643923364,0.229485210374236,0.140084989927579,-0.050427915591507,-0.515952885125625,-0.417862109547423,0.0057685441792021,0.405657262427349,1,0.461613128033982,0.171005637389565,-0.0222829162320506,0.0657504884266532,0.278764712174452,0.310975027754398,0.315336723052664,0.119006875882158,0.0997728492217647,-0.0119451761155758,0.0721328248307448,0.00753531409856978
"cube_Mean_Specific_Surface_Area_m2_per_g",-0.0626546595780297,0.210494096764198,-0.22556416301459,0.481428571428571,-0.135612244897959,0.114810563505937,0.214648332935481,-0.15363408660504,-0.225312337597385,-0.633858871175606,-0.520587785768712,0.0380631665376319,0.471996134004263,0.461613128033982,1,0.146734693877551,0.00908209603712934,-0.0315053209720775,0.307959183673469,0.391326530612245,0.493698020787181,0.301411925183881,0.125768514543846,0.18398428537327,0.395660059879892,0.306569066373712
"cube_Median_SpC_microsiemens_per_cm",-0.343069976386541,-0.281543510608952,0.0144385994285186,0.151122448979592,-0.0540816326530612,-0.0410256413594546,-0.267455802530971,0.23310880539108,-0.0321509084324376,-0.156691668146203,-0.129700495092038,-0.246492168288606,0.105228243952513,0.171005637389565,0.146734693877551,1,0.434001735347316,0.290185962859508,0.0690816326530612,-0.023469387755102,0.45808032378362,0.154867418106507,0.299395392837035,0.764203168696848,0.294970727310122,0.253057343928734
"cube_Median_pH",-0.000867413322730433,-0.210785578255476,-0.117903931857088,-0.234093576507581,0.197203939233174,-0.211287730570747,-0.0998545807402034,0.21446491022893,0.0704488969757773,0.0375293397285437,0.0630676599653026,-0.0557965098479437,-0.124422671611575,-0.0222829162320506,0.00908209603712934,0.434001735347316,1,0.361691368934134,-0.233277208324468,0.0527067708222169,0.0891763629874202,-0.046340043850957,0.113937291156298,0.338240171551767,0.345588323598527,0.284882759938831
"cube_Median_Temperature_degC",-0.0926800913268249,-0.0182621592691216,-0.119761592571325,0.0102124217089392,-0.250919201388636,-0.0657253175630651,-0.336150435925338,0.0661637109085457,-0.163268477700755,0.0135576815547102,0.113159406121423,-0.255042713841809,-0.152991675818699,0.0657504884266532,-0.0315053209720775,0.290185962859508,0.361691368934134,1,-0.0553513256624505,0.108353794331845,0.0807926228820363,0.00592789432188805,-0.0175147500413779,0.324839890344681,0.0818130718018485,0.0335999182469086
"cube_Median_ATP_picomoles_per_g",0.124901145478027,0.0585443086781124,0.0800355457530472,0.52969387755102,-0.429183673469388,0.280035721120258,0.0480114288786042,-0.215271714165146,-0.039267112687388,-0.585744171383398,-0.51058727552558,0.263993061214085,0.618866592828381,0.278764712174452,0.307959183673469,0.0690816326530612,-0.233277208324468,-0.0553513256624505,1,0.379489795918367,0.592947907136645,0.291608250842817,0.217556570391465,0.1021454629277,0.252182866917897,0.187750575792162
"cube_Median_Fe_mg_per_kg",0.262302609845807,0.0165884048128915,-0.0524048446884001,0.580612244897959,-0.338163265306122,0.0888888896121517,0.460164800272191,0.0838189960187178,0.121999386615444,-0.59676514185542,-0.559416297478012,0.133833359019046,0.549156708619296,0.310975027754398,0.391326530612245,-0.023469387755102,0.0527067708222169,0.108353794331845,0.379489795918367,1,0.434250145415908,0.315504707049162,0.338988239606213,0.107298655612864,0.473066260780384,0.371875834510284
"cube_Median_X01395_C_percent_per_mg",0.0504426815014904,-0.204196239231218,-0.0218430236466862,0.478950865437569,-0.313007096590033,0.143152415265162,0.18472686599433,0.0396667675858901,-0.140374537650729,-0.671080836318209,-0.502449482102512,-0.0182945500034278,0.516294501959709,0.315336723052664,0.493698020787181,0.45808032378362,0.0891763629874202,0.0807926228820363,0.592947907136645,0.434250145415908,1,0.590200053864218,0.397417909492774,0.428061136849016,0.617735791610644,0.526823895099357
"cube_Median_X01397_N_percent_per_mg",0.148463074593754,0.193650564616365,-0.249315017957942,0.213791585760615,-0.134187792543324,0.155934055402142,0.228349740183411,0.151198246767831,-0.112591656211206,-0.400439254963311,-0.27421050741558,-0.096280058050666,0.237538341877776,0.119006875882158,0.301411925183881,0.154867418106507,-0.046340043850957,0.00592789432188805,0.291608250842817,0.315504707049162,0.590200053864218,1,0.293122022254667,0.354856108990298,0.437773065371945,0.454034442230058
"cube_Median_Extractable_NPOC_mg_per_kg",0.228532067962651,-0.202945169657368,-0.200379631917214,0.175157529585811,-0.124186841541469,0.0266877584693401,0.358640746976887,0.0567581522468488,0.100781334120949,-0.297165599504826,-0.30754904722104,-0.0420950583089769,0.276141878680262,0.0997728492217647,0.125768514543846,0.299395392837035,0.113937291156298,-0.0175147500413779,0.217556570391465,0.338988239606213,0.397417909492774,0.293122022254667,1,0.448645339047911,0.417983724049062,0.294756009662062
"cube_Median_Extractable_TN_mg_per_kg",-0.182254196642686,-0.0454278674534853,-0.156829004296015,0.178422919010073,-0.154085563457369,0.0467673625949334,-0.257155977345783,0.0883188537438584,-0.0769491212516056,-0.186493864387043,-0.0550297216802807,-0.288287369025115,0.0350854817210645,-0.0119451761155758,0.18398428537327,0.764203168696848,0.338240171551767,0.324839890344681,0.1021454629277,0.107298655612864,0.428061136849016,0.354856108990298,0.448645339047911,1,0.40764391167184,0.348294628307479
"cube_median_Dry_Initial_Gravimetric",0.269601033835701,-0.0982275181554199,-0.0385930722770789,0.227725366765301,-0.157263257766172,0.0740457191578071,0.343792378942381,0.00214822872656233,0.0819759031883942,-0.537300995133792,-0.432444963439114,-0.0303308901030622,0.427644912231517,0.0721328248307448,0.395660059879892,0.294970727310122,0.345588323598527,0.0818130718018485,0.252182866917897,0.473066260780384,0.617735791610644,0.437773065371945,0.417983724049062,0.40764391167184,1,0.943841181738357
"cube_median_Dry_Final_Gravimetric",0.238255788840741,-0.032768883461197,-0.0688975411869596,0.0968112841180144,-0.116367571996284,0.00827290551011856,0.289215771108864,-0.00350374827591218,0.114897287396419,-0.401460523147354,-0.31802291251103,-0.0475145022626066,0.318284013455665,0.00753531409856978,0.306569066373712,0.253057343928734,0.284882759938831,0.0335999182469086,0.187750575792162,0.371875834510284,0.526823895099357,0.454034442230058,0.294756009662062,0.348294628307479,0.943841181738357,1
