"Variable","Cluster"
"cube_Effect_Size_SpC_microsiemens_per_cm",1
"cube_Median_Extractable_NPOC_mg_per_kg",1
"cube_Median_Extractable_TN_mg_per_kg",1
"cube_Median_SpC_microsiemens_per_cm",1
"cube_median_Dry_Final_Gravimetric",1
"cube_median_Dry_Initial_Gravimetric",1
"cube_Effect_Size_C_percent_per_mg",2
"cube_Effect_Size_N_percent_per_mg",2
"cube_Effect_Size_Temperature_degC",2
"cube_Effect_Size_pH",2
"cube_Percent_Med_Sand",2
"cube_Effect_Size_Fe_mg_per_kg",3
"cube_Median_ATP_picomoles_per_g",3
"cube_Median_Fe_mg_per_kg",3
"cube_Median_X01395_C_percent_per_mg",3
"cube_Median_X01397_N_percent_per_mg",3
"cube_Percent_Coarse_Sand",3
"cube_Percent_Fine_Sand",3
"cube_Effect_Size_ATP_picomoles_per_g",4
"cube_Effect_Size_Extractable_NPOC_mg_per_kg",4
"cube_Median_Temperature_degC",4
"cube_Median_pH",4
"cube_Effect_Size_Extractable_TN_mg_per_kg",5
"cube_Mean_Specific_Surface_Area_m2_per_g",5
"cube_Percent_Clay",5
"cube_Percent_Tot_Sand",5
