"Sample_Name","Fraction","Percent","Size","percent_finer","below_50","above_50","keep"
"EC_032_all","Percent_Clay",20.6,0.002,20.6,TRUE,FALSE,TRUE
"EC_040_all","Percent_Clay",17.7,0.002,17.7,TRUE,FALSE,TRUE
"EC_068_all","Percent_Clay",26.9,0.002,26.9,TRUE,FALSE,TRUE
"EC_072_all","Percent_Clay",44.5,0.002,44.5,TRUE,FALSE,TRUE
"EC_098_all","Percent_Clay",0,0.002,0,TRUE,FALSE,TRUE
"EC_103_all","Percent_Clay",17.2,0.002,17.2,TRUE,FALSE,TRUE
"EC_114_all","Percent_Clay",28.5,0.002,28.5,TRUE,FALSE,TRUE
"EC_002_all","Percent_Silt",16.7,0.053,18.4,TRUE,FALSE,TRUE
"EC_009_all","Percent_Silt",17.5,0.053,18.9,TRUE,FALSE,TRUE
"EC_027_all","Percent_Silt",11.7,0.053,27.4,TRUE,FALSE,TRUE
"EC_032_all","Percent_Silt",70.6,0.053,91.2,FALSE,TRUE,TRUE
"EC_034_all","Percent_Silt",11.3,0.053,14.7,TRUE,FALSE,TRUE
"EC_040_all","Percent_Silt",41,0.053,58.7,FALSE,TRUE,TRUE
"EC_068_all","Percent_Silt",51,0.053,77.9,FALSE,TRUE,TRUE
"EC_071_all","Percent_Silt",47,0.053,48.7,TRUE,FALSE,TRUE
"EC_072_all","Percent_Silt",38,0.053,82.5,FALSE,TRUE,TRUE
"EC_075_all","Percent_Silt",9.7,0.053,13.5,TRUE,FALSE,TRUE
"EC_076_all","Percent_Silt",25.4,0.053,30.1,TRUE,FALSE,TRUE
"EC_078_all","Percent_Silt",20.3,0.053,21.6,TRUE,FALSE,TRUE
"EC_080_all","Percent_Silt",7.6,0.053,21.1,TRUE,FALSE,TRUE
"EC_082_all","Percent_Silt",4.4,0.053,6.4,TRUE,FALSE,TRUE
"EC_085_all","Percent_Silt",19.9,0.053,23,TRUE,FALSE,TRUE
"EC_086_all","Percent_Silt",0,0.053,6.1,TRUE,FALSE,TRUE
"EC_087_all","Percent_Silt",35.3,0.053,41,TRUE,FALSE,TRUE
"EC_088_all","Percent_Silt",28.7,0.053,32,TRUE,FALSE,TRUE
"EC_091_all","Percent_Silt",7.7,0.053,11.4,TRUE,FALSE,TRUE
"EC_095_all","Percent_Silt",32.7,0.053,34.5,TRUE,FALSE,TRUE
"EC_098_all","Percent_Silt",76.2,0.053,76.2,FALSE,TRUE,TRUE
"EC_099_all","Percent_Silt",6.4,0.053,36.8,TRUE,FALSE,TRUE
"EC_103_all","Percent_Silt",33.4,0.053,50.6,FALSE,TRUE,TRUE
"EC_106_all","Percent_Silt",28.4,0.053,28.4,TRUE,FALSE,TRUE
"EC_114_all","Percent_Silt",64.5,0.053,93,FALSE,TRUE,TRUE
"EC_115_all","Percent_Silt",1.2,0.053,4,TRUE,FALSE,TRUE
"EC_002_all","Percent_Fine_Sand",50.5,0.25,68.9,FALSE,TRUE,TRUE
"EC_005_all","Percent_Fine_Sand",6,0.25,10.4,TRUE,FALSE,TRUE
"EC_009_all","Percent_Fine_Sand",31.4,0.25,50.3,FALSE,TRUE,TRUE
"EC_011_all","Percent_Fine_Sand",21.6,0.25,45.3,TRUE,FALSE,TRUE
"EC_012_all","Percent_Fine_Sand",27.1,0.25,38.3,TRUE,FALSE,TRUE
"EC_014_all","Percent_Fine_Sand",6.7,0.25,14.7,TRUE,FALSE,TRUE
"EC_016_all","Percent_Fine_Sand",23.3,0.25,46.3,TRUE,FALSE,TRUE
"EC_020_all","Percent_Fine_Sand",23.7,0.25,26,TRUE,FALSE,TRUE
"EC_021_all","Percent_Fine_Sand",9,0.25,12.9,TRUE,FALSE,TRUE
"EC_022_all","Percent_Fine_Sand",12.7,0.25,21.5,TRUE,FALSE,TRUE
"EC_023_all","Percent_Fine_Sand",13.9,0.25,32.8,TRUE,FALSE,TRUE
"EC_027_all","Percent_Fine_Sand",46.5,0.25,73.9,FALSE,TRUE,TRUE
"EC_028_all","Percent_Fine_Sand",11.8,0.25,18.5,TRUE,FALSE,TRUE
"EC_034_all","Percent_Fine_Sand",80.7,0.25,95.4,FALSE,TRUE,TRUE
"EC_035_all","Percent_Fine_Sand",28.4,0.25,34.2,TRUE,FALSE,TRUE
"EC_046_all","Percent_Fine_Sand",21,0.25,34.4,TRUE,FALSE,TRUE
"EC_050_all","Percent_Fine_Sand",13.3,0.25,38,TRUE,FALSE,TRUE
"EC_052_all","Percent_Fine_Sand",11.7,0.25,38.1,TRUE,FALSE,TRUE
"EC_057_all","Percent_Fine_Sand",5,0.25,7.4,TRUE,FALSE,TRUE
"EC_063_all","Percent_Fine_Sand",6,0.25,8.7,TRUE,FALSE,TRUE
"EC_065_all","Percent_Fine_Sand",14.2,0.25,21,TRUE,FALSE,TRUE
"EC_070_all","Percent_Fine_Sand",37.2,0.25,49.9,TRUE,FALSE,TRUE
"EC_071_all","Percent_Fine_Sand",27.2,0.25,75.9,FALSE,TRUE,TRUE
"EC_075_all","Percent_Fine_Sand",59,0.25,72.5,FALSE,TRUE,TRUE
"EC_076_all","Percent_Fine_Sand",27.9,0.25,58,FALSE,TRUE,TRUE
"EC_078_all","Percent_Fine_Sand",39.1,0.25,60.7,FALSE,TRUE,TRUE
"EC_080_all","Percent_Fine_Sand",43.9,0.25,65,FALSE,TRUE,TRUE
"EC_081_all","Percent_Fine_Sand",27.4,0.25,37.1,TRUE,FALSE,TRUE
"EC_082_all","Percent_Fine_Sand",51.7,0.25,58.1,FALSE,TRUE,TRUE
"EC_085_all","Percent_Fine_Sand",34.6,0.25,57.6,FALSE,TRUE,TRUE
"EC_086_all","Percent_Fine_Sand",75.3,0.25,81.4,FALSE,TRUE,TRUE
"EC_087_all","Percent_Fine_Sand",50.8,0.25,91.8,FALSE,TRUE,TRUE
"EC_088_all","Percent_Fine_Sand",28,0.25,60,FALSE,TRUE,TRUE
"EC_089_all","Percent_Fine_Sand",23.6,0.25,32.7,TRUE,FALSE,TRUE
"EC_090_all","Percent_Fine_Sand",21,0.25,44.4,TRUE,FALSE,TRUE
"EC_091_all","Percent_Fine_Sand",72.4,0.25,83.8,FALSE,TRUE,TRUE
"EC_094_all","Percent_Fine_Sand",23.6,0.25,32.5,TRUE,FALSE,TRUE
"EC_095_all","Percent_Fine_Sand",45.2,0.25,79.7,FALSE,TRUE,TRUE
"EC_099_all","Percent_Fine_Sand",33.4,0.25,70.2,FALSE,TRUE,TRUE
"EC_104_all","Percent_Fine_Sand",21.7,0.25,35.7,TRUE,FALSE,TRUE
"EC_105_all","Percent_Fine_Sand",15.7,0.25,25.4,TRUE,FALSE,TRUE
"EC_106_all","Percent_Fine_Sand",67.9,0.25,96.3,FALSE,TRUE,TRUE
"EC_107_all","Percent_Fine_Sand",34.6,0.25,42.5,TRUE,FALSE,TRUE
"EC_109_all","Percent_Fine_Sand",10,0.25,15.6,TRUE,FALSE,TRUE
"EC_115_all","Percent_Fine_Sand",53.9,0.25,57.9,FALSE,TRUE,TRUE
"EC_001_all","Percent_Med_Sand",1.6,0.5,14.9,TRUE,FALSE,TRUE
"EC_003_all","Percent_Med_Sand",10.8,0.5,18,TRUE,FALSE,TRUE
"EC_004_all","Percent_Med_Sand",12.2,0.5,23,TRUE,FALSE,TRUE
"EC_005_all","Percent_Med_Sand",56.2,0.5,66.6,FALSE,TRUE,TRUE
"EC_006_all","Percent_Med_Sand",14.5,0.5,41.1,TRUE,FALSE,TRUE
"EC_007_all","Percent_Med_Sand",9,0.5,15.7,TRUE,FALSE,TRUE
"EC_008_all","Percent_Med_Sand",6.2,0.5,22.6,TRUE,FALSE,TRUE
"EC_010_all","Percent_Med_Sand",36.2,0.5,42.2,TRUE,FALSE,TRUE
"EC_011_all","Percent_Med_Sand",29,0.5,74.3,FALSE,TRUE,TRUE
"EC_012_all","Percent_Med_Sand",24.4,0.5,62.7,FALSE,TRUE,TRUE
"EC_013_all","Percent_Med_Sand",4.1,0.5,18,TRUE,FALSE,TRUE
"EC_014_all","Percent_Med_Sand",41.8,0.5,56.5,FALSE,TRUE,TRUE
"EC_015_all","Percent_Med_Sand",5.8,0.5,24.4,TRUE,FALSE,TRUE
"EC_016_all","Percent_Med_Sand",31.2,0.5,77.5,FALSE,TRUE,TRUE
"EC_017_all","Percent_Med_Sand",18.8,0.5,29.8,TRUE,FALSE,TRUE
"EC_018_all","Percent_Med_Sand",4.5,0.5,8.4,TRUE,FALSE,TRUE
"EC_020_all","Percent_Med_Sand",45.2,0.5,71.2,FALSE,TRUE,TRUE
"EC_021_all","Percent_Med_Sand",37.1,0.5,50,FALSE,TRUE,TRUE
"EC_022_all","Percent_Med_Sand",54,0.5,75.5,FALSE,TRUE,TRUE
"EC_023_all","Percent_Med_Sand",24.5,0.5,57.3,FALSE,TRUE,TRUE
"EC_024_all","Percent_Med_Sand",8.7,0.5,16.4,TRUE,FALSE,TRUE
"EC_028_all","Percent_Med_Sand",79.4,0.5,97.9,FALSE,TRUE,TRUE
"EC_033_all","Percent_Med_Sand",6.2,0.5,7.9,TRUE,FALSE,TRUE
"EC_035_all","Percent_Med_Sand",62.3,0.5,96.5,FALSE,TRUE,TRUE
"EC_037_all","Percent_Med_Sand",4.7,0.5,10.7,TRUE,FALSE,TRUE
"EC_038_all","Percent_Med_Sand",12.1,0.5,19.5,TRUE,FALSE,TRUE
"EC_039_all","Percent_Med_Sand",25.3,0.5,32.1,TRUE,FALSE,TRUE
"EC_041_all","Percent_Med_Sand",31.9,0.5,45,TRUE,FALSE,TRUE
"EC_042_all","Percent_Med_Sand",11.3,0.5,23,TRUE,FALSE,TRUE
"EC_043_all","Percent_Med_Sand",5.3,0.5,6.9,TRUE,FALSE,TRUE
"EC_044_all","Percent_Med_Sand",23.3,0.5,40.3,TRUE,FALSE,TRUE
"EC_045_all","Percent_Med_Sand",10.4,0.5,18.6,TRUE,FALSE,TRUE
"EC_046_all","Percent_Med_Sand",38.9,0.5,73.3,FALSE,TRUE,TRUE
"EC_047_all","Percent_Med_Sand",38.6,0.5,47.7,TRUE,FALSE,TRUE
"EC_048_all","Percent_Med_Sand",28.8,0.5,33.2,TRUE,FALSE,TRUE
"EC_049_all","Percent_Med_Sand",12.6,0.5,19.1,TRUE,FALSE,TRUE
"EC_050_all","Percent_Med_Sand",20.4,0.5,58.4,FALSE,TRUE,TRUE
"EC_051_all","Percent_Med_Sand",6.6,0.5,28,TRUE,FALSE,TRUE
"EC_052_all","Percent_Med_Sand",12.2,0.5,50.3,FALSE,TRUE,TRUE
"EC_053_all","Percent_Med_Sand",5.1,0.5,24.8,TRUE,FALSE,TRUE
"EC_054_all","Percent_Med_Sand",7.9,0.5,37,TRUE,FALSE,TRUE
"EC_055_all","Percent_Med_Sand",2.6,0.5,24.8,TRUE,FALSE,TRUE
"EC_056_all","Percent_Med_Sand",25.3,0.5,29.8,TRUE,FALSE,TRUE
"EC_057_all","Percent_Med_Sand",51.9,0.5,59.3,FALSE,TRUE,TRUE
"EC_058_all","Percent_Med_Sand",20.9,0.5,25.3,TRUE,FALSE,TRUE
"EC_059_all","Percent_Med_Sand",6.5,0.5,8.7,TRUE,FALSE,TRUE
"EC_060_all","Percent_Med_Sand",12.4,0.5,21.5,TRUE,FALSE,TRUE
"EC_061_all","Percent_Med_Sand",9.6,0.5,13.1,TRUE,FALSE,TRUE
"EC_062_all","Percent_Med_Sand",8.6,0.5,17.4,TRUE,FALSE,TRUE
"EC_063_all","Percent_Med_Sand",44.3,0.5,53,FALSE,TRUE,TRUE
"EC_064_all","Percent_Med_Sand",15.2,0.5,32.3,TRUE,FALSE,TRUE
"EC_065_all","Percent_Med_Sand",52.1,0.5,73.1,FALSE,TRUE,TRUE
"EC_066_all","Percent_Med_Sand",0.5,0.5,5.5,TRUE,FALSE,TRUE
"EC_069_all","Percent_Med_Sand",5.5,0.5,16.7,TRUE,FALSE,TRUE
"EC_070_all","Percent_Med_Sand",46.1,0.5,96,FALSE,TRUE,TRUE
"EC_073_all","Percent_Med_Sand",2.6,0.5,12.9,TRUE,FALSE,TRUE
"EC_074_all","Percent_Med_Sand",20.2,0.5,24.1,TRUE,FALSE,TRUE
