Parent_ID,CM_Parent_ID,IGSN_Sample_Name,IGSN,Sample_Date,Sample_Latitude,Sample_Longitude,miniDOT_Date,miniDOT_Latitude,miniDOT_Longitude,miniDOT_Start_Time,miniDOT_End_Time,Time_Zone,miniDOT_SN,pH,Contact_First_Name,Contact_Last_Name,Organization,Site_ID,Site_Name,Stream_Name,City,State,Weather,Intermittent_or_Perennial,General_Vegetation,Hydrogeomorphology,River_Gradient,Sediment,Water_Depth_cm,Depositional_Type,Canopy_Coverage,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,miniDOT_Notes,Additional_Sampling_Notes,Hydrograph_Online
EC_005,CM_005,CM_005_Sediment,10.58052/IEWDR01Q9, 2022-11-07,48.8186,-122.5806, 2022-11-07,48.8186,-122.5806,13:31:00,14:48:00,Pacific Standard Time (UTC-8),164227,6.3,Kaatje,Kraft,Whatcom Community College,MP-102695,Slater Rd,Nooksack River,Bellingham,Washington,Overcast,Perennial,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Silt/mud (<0.0625mm),16,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,People were fishing nearby with motor boats during our testing time; sampling was done by undergraduates (non-majors) along with faculty and staff. Temperature of water according to nearby USGS gaging station was 41.36 degrees F.,https://waterdata.usgs.gov/monitoring-location/12213100/#parameterCode=00065&period=P7D
EC_009,CM_009,CM_009_Sediment,10.58052/IEWDR01UU, 2023-04-16,37.7323106,-121.10824, 2023-04-16,37.7323106,-121.10824,8:55:00,9:54:00,Pacific Standard Time (UTC-8),85398,6.25,Nick,Bouskill,Lawrence Berkeley National Laboratory (LBNL),MP-102600,N/A,Stanislaus River,Ripon,California,Sunny; 55 F,Perennial,Broadleaf deciduous tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Sand,12,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,https://waterdata.usgs.gov/monitoring-location/11303000/#parameterCode=00065&period=P7D
EC_011,CM_011,CM_011_Sediment,10.58052/IEWDR01QE, 2022-08-21,42.5055,-73.5062, 2022-08-21,42.5055,-73.5062,16:45:00,17:48:00,Eastern Daylight Time (UTC-4),755115,6.5,Kevin,Ryan,United States Geological Survey (USGS),MP-100201,N/A,Kinderhook Creek,East Nassau,New York,Partly cloudy,Perennial,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively steep gradient (e.g.; mountainous or hilly terrain),Bedrock (primarily),40,Shallow waters near the shore,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,Sampled at Kinderhook Creek Fishing Access.,N/A
EC_012,CM_012,CM_012_Sediment,10.58052/IEWDR01QF, 2022-08-21,42.7638,-73.3372, 2022-08-21,42.7638,-73.3372,13:20:00,14:40:00,Eastern Daylight Time (UTC-4),738321,6.5,Kevin,Ryan,United States Geological Survey (USGS),MP-100167,N/A,Little Hoosic River,Petersburgh,New York,Sunny; Partly cloudy,Perennial,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),12,Shallow waters near the shore,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,N/A,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01333500
EC_013,CM_013,CM_013_Sediment,10.58052/IEWDR01QG, 2022-07-11,41.3093,-83.1578, 2022-07-11,41.3093,-83.1578,10:06:00,11:24:00,Eastern Daylight Time (UTC-4),784311,7,Laura,Johnson,Heidelberg University,SP-1,Tindall Bridge,Sandusky River,Ballville,Ohio,Sunny,Perennial,Broadleaf deciduous tree; Shrub; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Bedrock (primarily),21.25,Shallow waters near the shore,No coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,Water was slightly turbid (65.3 Nephelometric Turbidity Units; NTU); our ProDSS measured 109.7 percent saturation and 9.10 milligrams per liter dissolved oxygen at start of minidot deployment. Specific Conductivity was 412.2 microsiemens per centimeter. The filtered water bottle had about 100 milliliters of unfiltered water in it; we went through all the filters.  The sieving was taking too long; so we started to pick out the large bits by hand (mostly snail shells).  We have 47 years of data from this location- nutrients and total suspended solids.  There's a sonde deployed as well; if you need any diel dissolved oxygen or other details.,https://waterdata.usgs.gov/nwis/uv?04198000
EC_014,CM_014,CM_014_Sediment,10.58052/IEWDR01QH, 2022-06-13,35.3668,-77.4403, 2022-06-13,35.3668,-77.4403,11:10:00,12:36:00,Eastern Daylight Time (UTC-4),449867,6.5,Marcelo,Ardon,North Carolina State University,MP-100656,N/A,Contentnea Creek,Grifton,North Carolina,Sunny; 89 degreesF,Perennial,Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Sand,94,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor was deployed at 50 percent of the water column using a polyvinyl chloride (PVC) pipe.,N/A,https://waterdata.usgs.gov/nwis/uv?site_no=02091500
EC_017,CM_017,CM_017_Sediment,10.58052/IEWDR01QK, 2022-11-14,45.5974,-110.566, 2022-11-14,45.5974,-110.566,12:06:00,13:32:00,Mountain Standard Time (UTC-7),94323,6,Ann,Burgess,Earth Science Information Partners (ESIP),MP-101915,N/A,Yellowstone River,N/A,Montana,Overcast,Perennial,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Gravel/cobble (>2mm),10,Shallow waters near the shore,No coverage,No coverage,No coverage,3-10cm in some places,The water was likely just hovering above 0 degreesC. There were small chunks of ice floating in water. We placed the sensor on a rock anchored by another rock; but when we went to retrieve it; it had dislodge from its original spot and was resting on the river bed.,WIN-1 - one drop of water dripped off glove and potentially into the sample bottle.,https://waterdata.usgs.gov/monitoring-location/06192500/#parameterCode=00065&period=P7D
EC_018,CM_018,CM_018_Sediment,10.58052/IEWDR01QL, 2022-06-13,41.3166,-102.126, 2022-06-28,41.3165,-102.1264,1:20:00,2:20:00,Mountain Daylight Time (UTC-6),449867,8,Melissa,Wuellner,University of Nebraska at Kearney,SP-2,North Platte River at Lewellen Bridge,North Platte River,Lewellen,Nebraska,Sunny,Perennial,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Sand,35,Inside bend of stream,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,N/A,www.thereisnolinkforthehydrographandicantsubmitwithoutprovidingaurl.com
EC_021,CM_021,CM_021_Sediment,10.58052/IEWDR01QN, 2022-09-05,32.3505,-111.0953, 2022-09-05,32.3505,-111.0953,13:43:00,14:43:00,Mountain Standard Time (UTC-7),135727,7,Christian,Ayala,University of Arizona,SP-10,Santa Cruz River at Cotaro Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,Needleleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Sand,25,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap. Sensor detached two times during the collection and move downstream through the river. Sensor was moved back upstream as soon as possible both times.,N/A,https://waterdata.usgs.gov/nwis/uv?site_no=09486500
EC_022,CM_022,CM_022_Sediment,10.58052/IEWDR01QO, 2022-09-12,44.5505,-123.2497, 2022-09-12,44.5505,-123.2497,9:15:00,11:03:00,Pacific Daylight Time (UTC-7),942543,6.25,Byron,Crump,Oregon State University,SP-8,Willamette River MS-10 Cor,Willamette River,Corvallis,Oregon,Overcast,Perennial,Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Sand,17.5,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor held in place with a stick stuck into the sediment.,Area frequented by ducks and dogs.  Sediment was sandy with very few other particles.  Sediment was cut with freshwater mussel trails.  Sampling occurred in a side backwater area of the river where deposition occurred because of an eddy.,https://waterdata.usgs.gov/monitoring-location/14171600/#parameterCode=00065&period=P7D  This gauge is downriver of the site and downstream of the confluence with the Mary's River
