#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,ATP_nanomoles_per_L,ATP_picomoles_per_g,Methods_Deviation
Unit,N/A,N/A,N/A,nanomoles_per_Liter,picomoles_per_gram,N/A
Unit_Basis,N/A,N/A,N/A,as_nanomoles_ATP_per_L,as_picomoles_ATP_per_g_dry_weight,N/A
MethodID_Analysis,N/A,N/A,N/A,ATP_T_AN_001,ATP_T_AN_001,N/A
MethodID_Inspection,N/A,N/A,N/A,ATP_T_IN_001,ATP_T_IN_001,N/A
MethodID_Storage,N/A,N/A,N/A,ATP_T_ST_001,ATP_T_ST_001,N/A
MethodID_Preservation,N/A,N/A,N/A,ATP_T_PRES_001,ATP_T_PRES_001,N/A
MethodID_Preparation,N/A,N/A,N/A,ATP_T_PREP_001,ATP_T_PREP_001,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ATP_T_DP_001,ATP_T_DP_001,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0-0.065,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,EC_005_ATP-D1,10.58052/IEWDR01Q9,Sediment,7.6,20.8,N/A
N/A,EC_005_ATP-D2,10.58052/IEWDR01Q9,Sediment,5.76,16.82,N/A
N/A,EC_005_ATP-D3,10.58052/IEWDR01Q9,Sediment,6.54,17.44,N/A
N/A,EC_005_ATP-D4,10.58052/IEWDR01Q9,Sediment,2.97,10.89,N/A
N/A,EC_005_ATP-D5,10.58052/IEWDR01Q9,Sediment,2.84,9.94,N/A
N/A,EC_005_ATP-W1,10.58052/IEWDR01Q9,Sediment,4.06,11.61,N/A
N/A,EC_005_ATP-W2,10.58052/IEWDR01Q9,Sediment,6.26,17.41,N/A
N/A,EC_005_ATP-W3,10.58052/IEWDR01Q9,Sediment,4.3,12.92,N/A
N/A,EC_005_ATP-W4,10.58052/IEWDR01Q9,Sediment,6.03,15.84,N/A
N/A,EC_005_ATP-W5,10.58052/IEWDR01Q9,Sediment,4.22,14.44,N/A
N/A,EC_009_ATP-D1,10.58052/IEWDR01UU,Sediment,33,98.48,N/A
N/A,EC_009_ATP-D2,10.58052/IEWDR01UU,Sediment,31.45,98.58,N/A
N/A,EC_009_ATP-D3,10.58052/IEWDR01UU,Sediment,24.15,71.82,N/A
N/A,EC_009_ATP-D4,10.58052/IEWDR01UU,Sediment,34.4,127.97,N/A
N/A,EC_009_ATP-D5,10.58052/IEWDR01UU,Sediment,32.24,93.43,N/A
N/A,EC_009_ATP-W1,10.58052/IEWDR01UU,Sediment,45.7,141.81,ATP_001
N/A,EC_009_ATP-W2,10.58052/IEWDR01UU,Sediment,16.59,56.4,N/A
N/A,EC_009_ATP-W3,10.58052/IEWDR01UU,Sediment,44.21,191.37,ATP_001
N/A,EC_009_ATP-W4,10.58052/IEWDR01UU,Sediment,15.91,58.41,N/A
