"feature","count","proportion"
"Effect_Size_SpC_microsiemens_per_cm",73,0.73
"Effect_Size_pH",7,0.07
"Effect_Size_Temperature_degC",31,0.31
"Effect_Size_Fe_mg_per_kg",18,0.18
"Effect_Size_ATP_picomoles_per_g",40,0.4
"Effect_Size_Extractable_NPOC_mg_per_kg",15,0.15
"Effect_Size_Extractable_TN_mg_per_kg",11,0.11
"Effect_Size_C_percent_per_mg",38,0.38
"Effect_Size_N_percent_per_mg",31,0.31
"Percent_Tot_Sand",11,0.11
"Percent_Coarse_Sand",3,0.03
"Percent_Med_Sand",12,0.12
"Percent_Fine_Sand",52,0.52
"Percent_Clay",5,0.05
"Mean_Specific_Surface_Area_m2_per_g",4,0.04
"Median_SpC_microsiemens_per_cm",54,0.54
"Median_pH",7,0.07
"Median_Temperature_degC",7,0.07
"Median_ATP_picomoles_per_g",45,0.45
"Median_Fe_mg_per_kg",4,0.04
"Median_X01395_C_percent_per_mg",15,0.15
"Median_X01397_N_percent_per_mg",39,0.39
"Median_Extractable_NPOC_mg_per_kg",4,0.04
"Median_Extractable_TN_mg_per_kg",26,0.26
"median_Dry_Initial_Gravimetric",9,0.09
"median_Dry_Final_Gravimetric",1,0.01
