#Columns,6,,,,,
#Header_Rows,12,,,,,
Field_Name,Sample_Name,IGSN,Material,Fe_mg_per_L,Fe_mg_per_kg,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_kilogram,N/A
Unit_Basis,N/A,N/A,N/A,as_mg_Fe_per_L_water,as_mg_Fe_per_kg_dry_sediment,N/A
MethodID_Analysis,N/A,N/A,N/A,Fe_T_AN_004,Fe_T_AN_004,N/A
MethodID_Inspection,N/A,N/A,N/A,Fe_T_IN_004,Fe_T_IN_004,N/A
MethodID_Storage,N/A,N/A,N/A,Fe_T_ST_004,Fe_T_ST_004,N/A
MethodID_Preservation,N/A,N/A,N/A,Fe_T_PRES_004,Fe_T_PRES_004,N/A
MethodID_Preparation,N/A,N/A,N/A,Fe_T_PREP_004,Fe_T_PREP_004,N/A
MethodID_DataProcessing,N/A,N/A,N/A,Fe_T_DP_004,Fe_T_DP_004,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0-0.014,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,EV_001_SFE-D1,10.58052/IEWDR023A,Sediment,0.086,0.402,N/A
N/A,EV_001_SFE-D2,10.58052/IEWDR023A,Sediment,0.069,0.322,N/A
N/A,EV_001_SFE-D3,10.58052/IEWDR023A,Sediment,0.088,0.396,N/A
N/A,EV_001_SFE-D4,10.58052/IEWDR023A,Sediment,0.056,0.258,N/A
N/A,EV_001_SFE-D5,10.58052/IEWDR023A,Sediment,-9999,-9999,INC_Method_001
N/A,EV_001_SFE-W1,10.58052/IEWDR023A,Sediment,0.114,0.528,N/A
N/A,EV_001_SFE-W2,10.58052/IEWDR023A,Sediment,0.064,0.294,N/A
N/A,EV_001_SFE-W3,10.58052/IEWDR023A,Sediment,0.093,0.419,N/A
N/A,EV_001_SFE-W4,10.58052/IEWDR023A,Sediment,0.11,0.498,N/A
N/A,EV_001_SFE-W5,10.58052/IEWDR023A,Sediment,-9999,-9999,INC_Method_001
N/A,EV_002_SFE-D1,10.58052/IEWDR023B,Sediment,0.052,0.194,N/A
N/A,EV_002_SFE-D2,10.58052/IEWDR023B,Sediment,0.033,0.122,N/A
N/A,EV_002_SFE-D3,10.58052/IEWDR023B,Sediment,0.056,0.207,N/A
N/A,EV_002_SFE-D4,10.58052/IEWDR023B,Sediment,0.036,0.134,N/A
N/A,EV_002_SFE-D5,10.58052/IEWDR023B,Sediment,0.03,0.109,N/A
N/A,EV_002_SFE-W1,10.58052/IEWDR023B,Sediment,0.11,0.408,N/A
N/A,EV_002_SFE-W2,10.58052/IEWDR023B,Sediment,0.151,0.565,N/A
N/A,EV_002_SFE-W3,10.58052/IEWDR023B,Sediment,0.123,0.451,N/A
N/A,EV_002_SFE-W4,10.58052/IEWDR023B,Sediment,0.107,0.398,N/A
N/A,EV_002_SFE-W5,10.58052/IEWDR023B,Sediment,0.104,0.374,N/A
N/A,EV_005_SFE-D1,10.58052/IEWDR023C,Sediment,0.333,1.596,N/A
N/A,EV_005_SFE-D2,10.58052/IEWDR023C,Sediment,0.022,0.102,N/A
N/A,EV_005_SFE-D3,10.58052/IEWDR023C,Sediment,0.019,0.091,N/A
N/A,EV_005_SFE-D4,10.58052/IEWDR023C,Sediment,0.402,1.903,N/A
N/A,EV_005_SFE-D5,10.58052/IEWDR023C,Sediment,-9999,-9999,SFE_ACID_001
N/A,EV_005_SFE-W1,10.58052/IEWDR023C,Sediment,0.021,0.104,N/A
N/A,EV_005_SFE-W2,10.58052/IEWDR023C,Sediment,-9999,-9999,SFE_ACID_001
N/A,EV_005_SFE-W3,10.58052/IEWDR023C,Sediment,-9999,-9999,SFE_ACID_001
N/A,EV_005_SFE-W4,10.58052/IEWDR023C,Sediment,0.054,0.253,N/A
N/A,EV_005_SFE-W5,10.58052/IEWDR023C,Sediment,0.434,2.12,N/A
N/A,EV_006_SFE-D1,10.58052/IEWDR023D,Sediment,0.096,0.594,N/A
N/A,EV_006_SFE-D2,10.58052/IEWDR023D,Sediment,0.133,0.816,N/A
N/A,EV_006_SFE-D3,10.58052/IEWDR023D,Sediment,0.128,0.781,N/A
N/A,EV_006_SFE-D4,10.58052/IEWDR023D,Sediment,0.17,1.053,N/A
N/A,EV_006_SFE-D5,10.58052/IEWDR023D,Sediment,0.143,0.882,N/A
N/A,EV_006_SFE-W1,10.58052/IEWDR023D,Sediment,0.223,1.377,N/A
N/A,EV_006_SFE-W2,10.58052/IEWDR023D,Sediment,0.166,1.031,N/A
N/A,EV_006_SFE-W3,10.58052/IEWDR023D,Sediment,0.12,0.739,N/A
N/A,EV_006_SFE-W4,10.58052/IEWDR023D,Sediment,0.125,0.787,N/A
N/A,EV_006_SFE-W5,10.58052/IEWDR023D,Sediment,0.244,1.534,N/A
N/A,EV_007_SFE-D1,10.58052/IEWDR023E,Sediment,0.061,0.245,N/A
N/A,EV_007_SFE-D2,10.58052/IEWDR023E,Sediment,0.096,0.383,N/A
N/A,EV_007_SFE-D3,10.58052/IEWDR023E,Sediment,0.038,0.155,N/A
N/A,EV_007_SFE-D4,10.58052/IEWDR023E,Sediment,0.051,0.207,N/A
N/A,EV_007_SFE-D5,10.58052/IEWDR023E,Sediment,-9999,-9999,INC_Method_001
N/A,EV_007_SFE-W1,10.58052/IEWDR023E,Sediment,0.073,0.304,SFE_RERUN_002
N/A,EV_007_SFE-W2,10.58052/IEWDR023E,Sediment,0.069,0.286,N/A
N/A,EV_007_SFE-W3,10.58052/IEWDR023E,Sediment,0.08,0.331,N/A
N/A,EV_007_SFE-W4,10.58052/IEWDR023E,Sediment,0.133,0.56,N/A
N/A,EV_007_SFE-W5,10.58052/IEWDR023E,Sediment,-9999,-9999,INC_Method_001
N/A,EV_008_SFE-D1,10.58052/IEWDR023F,Sediment,0.074,0.264,N/A
N/A,EV_008_SFE-D2,10.58052/IEWDR023F,Sediment,0.165,0.586,N/A
N/A,EV_008_SFE-D3,10.58052/IEWDR023F,Sediment,0.103,0.361,N/A
N/A,EV_008_SFE-D4,10.58052/IEWDR023F,Sediment,0.112,0.394,N/A
N/A,EV_008_SFE-D5,10.58052/IEWDR023F,Sediment,0.085,0.299,N/A
N/A,EV_008_SFE-W1,10.58052/IEWDR023F,Sediment,0.103,0.358,N/A
N/A,EV_008_SFE-W2,10.58052/IEWDR023F,Sediment,0.071,0.25,N/A
N/A,EV_008_SFE-W3,10.58052/IEWDR023F,Sediment,0.075,0.269,N/A
N/A,EV_008_SFE-W4,10.58052/IEWDR023F,Sediment,0.094,0.332,N/A
N/A,EV_008_SFE-W5,10.58052/IEWDR023F,Sediment,0.083,0.295,N/A
N/A,EV_009_SFE-D1,10.58052/IEWDR023G,Sediment,0.04,0.183,N/A
N/A,EV_009_SFE-D2,10.58052/IEWDR023G,Sediment,0.04,0.183,N/A
N/A,EV_009_SFE-D3,10.58052/IEWDR023G,Sediment,0.041,0.189,N/A
N/A,EV_009_SFE-D4,10.58052/IEWDR023G,Sediment,0.037,0.169,N/A
N/A,EV_009_SFE-D5,10.58052/IEWDR023G,Sediment,0.034,0.152,N/A
N/A,EV_009_SFE-W1,10.58052/IEWDR023G,Sediment,0.081,0.366,N/A
N/A,EV_009_SFE-W2,10.58052/IEWDR023G,Sediment,0.057,0.255,N/A
