#Columns,11,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,Date,Wet_Sediment_Mass_g,Wet_Sediment_Mass_Added_Water_g,Dry_Sediment_Mass_g,Added_Water_Mass_g,Total_Water_Mass_g,62948_Gravimetric_Moisture_g_per_g,Methods_Deviation
Unit,N/A,N/A,N/A,YYYY-MM-DD,grams,grams,grams,grams,grams,grams_per_gram,N/A
Unit_Basis,N/A,N/A,N/A,as_Date,as_Wet_Sediment,as_Wet_Sediment,as_Dry_Sediment,as_Water,as_Water,as_grams_Water_per_gram_Dry_Sediment,N/A
MethodID_Analysis,N/A,N/A,N/A,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,N/A
MethodID_Inspection,N/A,N/A,N/A,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,N/A
MethodID_Storage,N/A,N/A,N/A,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,N/A
MethodID_Preservation,N/A,N/A,N/A,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,N/A
MethodID_Preparation,N/A,N/A,N/A,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,N/A
MethodID_DataProcessing,N/A,N/A,N/A,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,EV_001_INC-D1,10.58052/IEWDR023A,Sediment, 2023-07-13,20.06,-9999,11.33,-9999,8.73,0.77,N/A
N/A,EV_001_INC-D1,10.58052/IEWDR023A,Sediment, 2023-07-14,19.91,-9999,11.33,-9999,8.58,0.76,N/A
N/A,EV_001_INC-D1,10.58052/IEWDR023A,Sediment, 2023-07-18,19.5,-9999,11.33,-9999,8.17,0.72,N/A
N/A,EV_001_INC-D1,10.58052/IEWDR023A,Sediment, 2023-07-21,19.25,-9999,11.33,-9999,7.92,0.7,N/A
N/A,EV_001_INC-D1,10.58052/IEWDR023A,Sediment, 2023-07-25,18.94,-9999,11.33,-9999,7.61,0.67,N/A
N/A,EV_001_INC-D1,10.58052/IEWDR023A,Sediment, 2023-07-28,18.64,-9999,11.33,-9999,7.31,0.64,N/A
N/A,EV_001_INC-D1,10.58052/IEWDR023A,Sediment, 2023-08-01,18.19,-9999,11.33,-9999,6.86,0.61,N/A
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment, 2023-07-13,19.96,-9999,11.28,-9999,8.68,0.77,N/A
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment, 2023-07-14,19.79,-9999,11.28,-9999,8.51,0.75,N/A
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment, 2023-07-18,19.25,-9999,11.28,-9999,7.97,0.71,N/A
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment, 2023-07-21,18.92,-9999,11.28,-9999,7.64,0.68,N/A
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment, 2023-07-25,18.56,-9999,11.28,-9999,7.28,0.65,N/A
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment, 2023-07-28,18.26,-9999,11.28,-9999,6.98,0.62,N/A
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment, 2023-08-01,17.83,-9999,11.28,-9999,6.55,0.58,N/A
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment, 2023-07-13,19.92,-9999,11.25,-9999,8.67,0.77,N/A
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment, 2023-07-14,19.77,-9999,11.25,-9999,8.52,0.76,N/A
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment, 2023-07-18,19.33,-9999,11.25,-9999,8.08,0.72,N/A
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment, 2023-07-21,19.04,-9999,11.25,-9999,7.79,0.69,N/A
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment, 2023-07-25,18.59,-9999,11.25,-9999,7.34,0.65,N/A
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment, 2023-07-28,18.18,-9999,11.25,-9999,6.93,0.62,N/A
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment, 2023-08-01,17.88,-9999,11.25,-9999,6.63,0.59,N/A
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment, 2023-07-13,19.91,-9999,11.25,-9999,8.66,0.77,N/A
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment, 2023-07-14,19.78,-9999,11.25,-9999,8.53,0.76,N/A
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment, 2023-07-18,19.32,-9999,11.25,-9999,8.07,0.72,N/A
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment, 2023-07-21,19.04,-9999,11.25,-9999,7.79,0.69,N/A
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment, 2023-07-25,18.67,-9999,11.25,-9999,7.42,0.66,N/A
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment, 2023-07-28,18.04,-9999,11.25,-9999,6.79,0.6,N/A
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment, 2023-08-01,17.55,-9999,11.25,-9999,6.3,0.56,N/A
N/A,EV_001_INC-D5,10.58052/IEWDR023A,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment, 2023-07-13,19.96,23.04,11.28,3.08,11.76,1.04,N/A
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment, 2023-07-14,22.94,23.04,11.28,0.1,11.76,1.04,N/A
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment, 2023-07-18,22.62,23.03,11.28,0.41,11.75,1.04,N/A
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment, 2023-07-21,22.72,23.05,11.28,0.33,11.77,1.04,N/A
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment, 2023-07-25,22.67,23.04,11.28,0.37,11.76,1.04,N/A
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment, 2023-07-28,22.7,23.04,11.28,0.34,11.76,1.04,N/A
N/A,EV_001_INC-W1,10.58052/IEWDR023A,Sediment, 2023-08-01,22.6,23.04,11.28,0.44,11.76,1.04,N/A
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment, 2023-07-13,19.91,22.96,11.25,3.05,11.71,1.04,N/A
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment, 2023-07-14,22.83,22.96,11.25,0.13,11.71,1.04,N/A
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment, 2023-07-18,22.54,22.95,11.25,0.41,11.7,1.04,N/A
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment, 2023-07-21,22.63,22.97,11.25,0.34,11.72,1.04,N/A
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment, 2023-07-25,22.56,22.96,11.25,0.4,11.71,1.04,N/A
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment, 2023-07-28,22.6,22.96,11.25,0.36,11.71,1.04,N/A
N/A,EV_001_INC-W2,10.58052/IEWDR023A,Sediment, 2023-08-01,22.49,22.96,11.25,0.47,11.71,1.04,N/A
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment, 2023-07-13,20.03,23.06,11.32,3.03,11.74,1.04,N/A
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment, 2023-07-14,22.94,23.06,11.32,0.12,11.74,1.04,N/A
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment, 2023-07-18,22.69,23.05,11.32,0.36,11.73,1.04,N/A
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment, 2023-07-21,22.75,23.06,11.32,0.31,11.74,1.04,N/A
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment, 2023-07-25,22.67,23.07,11.32,0.4,11.75,1.04,N/A
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment, 2023-07-28,22.72,23.06,11.32,0.34,11.74,1.04,N/A
N/A,EV_001_INC-W3,10.58052/IEWDR023A,Sediment, 2023-08-01,22.56,23.06,11.32,0.5,11.74,1.04,N/A
N/A,EV_001_INC-W4,10.58052/IEWDR023A,Sediment, 2023-07-13,19.98,23.02,11.29,3.04,11.73,1.04,N/A
N/A,EV_001_INC-W4,10.58052/IEWDR023A,Sediment, 2023-07-14,22.91,23.01,11.29,0.1,11.72,1.04,N/A
