#Columns,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,Median_SpC_microsiemens_per_cm,Mean_SpC_microsiemens_per_cm,stdev_SpC_microsiemens_per_cm,Median_pH,Mean_pH,stdev_pH,Median_Temperature_degC,Mean_Temperature_degC,stdev_Temperature_degC,Median_Respiration_Rate_mg_DO_per_L_per_H,Mean_Respiration_Rate_mg_DO_per_L_per_H,stdev_Respiration_Rate_mg_DO_per_L_per_H,Median_Respiration_Rate_mg_DO_per_kg_per_H,Mean_Respiration_Rate_mg_DO_per_kg_per_H,stdev_Respiration_Rate_mg_DO_per_kg_per_H,Median_62948_Initial_Gravimetric_Moisture_g_per_g,Mean_62948_Initial_Gravimetric_Moisture_g_per_g,stdev_62948_Initial_Gravimetric_Moisture_g_per_g,Median_62948_Final_Gravimetric_Moisture_g_per_g,Mean_62948_Final_Gravimetric_Moisture_g_per_g,stdev_62948_Final_Gravimetric_Moisture_g_per_g,Median_Fe_mg_per_L,Mean_Fe_mg_per_L,stdev_Fe_mg_per_L,Median_Fe_mg_per_kg,Mean_Fe_mg_per_kg,stdev_Fe_mg_per_kg,Median_Missing_Reps,Mean_Missing_Reps
Unit,N/A,N/A,N/A,microsiemens_per_centimeter,microsiemens_per_centimeter,microsiemens_per_centimeter,pH,pH,pH,degrees_Celsius,degrees_Celsius,degrees_Celsius,milligrams_per_Liter_per_hour,milligrams_per_Liter_per_hour,milligrams_per_Liter_per_hour,milligrams_per_kilogram_per_hour,milligrams_per_kilogram_per_hour,milligrams_per_kilogram_per_hour,grams_per_gram,grams_per_gram,grams_per_gram,grams_per_gram,grams_per_gram,grams_per_gram,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_kilogram,milligrams_per_kilogram,milligrams_per_kilogram,N/A,N/A
Unit_Basis,N/A,N/A,N/A,as_microsiemens_per_centimeter,as_microsiemens_per_centimeter,as_microsiemens_per_centimeter,as_pH,as_pH,as_pH,as_degrees_Celsius,as_degrees_Celsius,as_degrees_Celsius,as_mg_Oxygen_per_L_water_per_hour,as_mg_Oxygen_per_L_water_per_hour,as_mg_Oxygen_per_L_water_per_hour,as_mg_Oxygen_per_kg_sediment_per_hour,as_mg_Oxygen_per_kg_sediment_per_hour,as_mg_Oxygen_per_kg_sediment_per_hour,as_grams_Water_per_gram_Dry_Sediment,as_grams_Water_per_gram_Dry_Sediment,as_grams_Water_per_gram_Dry_Sediment,as_grams_Water_per_gram_Dry_Sediment,as_grams_Water_per_gram_Dry_Sediment,as_grams_Water_per_gram_Dry_Sediment,as_mg_Fe_per_L_water,as_mg_Fe_per_L_water,as_mg_Fe_per_L_water,as_mg_Fe_per_kg_dry_sediment,as_mg_Fe_per_kg_dry_sediment,as_mg_Fe_per_kg_dry_sediment,N/A,N/A
MethodID_Analysis,N/A,N/A,N/A,SpC_T_AN_002,SpC_T_AN_002,SpC_T_AN_002,pH_T_AN_004,pH_T_AN_004,pH_T_AN_004,Temp_T_AN_001,Temp_T_AN_001,Temp_T_AN_001,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,INC_T_AN_008,Fe_T_AN_004,Fe_T_AN_004,Fe_T_AN_004,Fe_T_AN_004,Fe_T_AN_004,Fe_T_AN_004,N/A,N/A
MethodID_Inspection,N/A,N/A,N/A,SpC_T_IN_002,SpC_T_IN_002,SpC_T_IN_002,pH_T_IN_004,pH_T_IN_004,pH_T_IN_004,Temp_T_IN_001,Temp_T_IN_001,Temp_T_IN_001,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,INC_T_IN_008,Fe_T_IN_004,Fe_T_IN_004,Fe_T_IN_004,Fe_T_IN_004,Fe_T_IN_004,Fe_T_IN_004,N/A,N/A
MethodID_Storage,N/A,N/A,N/A,SpC_T_ST_002,SpC_T_ST_002,SpC_T_ST_002,pH_T_ST_004,pH_T_ST_004,pH_T_ST_004,Temp_T_ST_001,Temp_T_ST_001,Temp_T_ST_001,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,INC_T_ST_008,Fe_T_ST_004,Fe_T_ST_004,Fe_T_ST_004,Fe_T_ST_004,Fe_T_ST_004,Fe_T_ST_004,N/A,N/A
MethodID_Preservation,N/A,N/A,N/A,SpC_T_PRES_002,SpC_T_PRES_002,SpC_T_PRES_002,pH_T_PRES_004,pH_T_PRES_004,pH_T_PRES_004,Temp_T_PRES_001,Temp_T_PRES_001,Temp_T_PRES_001,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,INC_T_PRES_008,Fe_T_PRES_004,Fe_T_PRES_004,Fe_T_PRES_004,Fe_T_PRES_004,Fe_T_PRES_004,Fe_T_PRES_004,N/A,N/A
MethodID_Preparation,N/A,N/A,N/A,SpC_T_PREP_002,SpC_T_PREP_002,SpC_T_PREP_002,pH_T_PREP_004,pH_T_PREP_004,pH_T_PREP_004,Temp_T_PREP_001,Temp_T_PREP_001,Temp_T_PREP_001,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,INC_T_PREP_008,Fe_T_PREP_004,Fe_T_PREP_004,Fe_T_PREP_004,Fe_T_PREP_004,Fe_T_PREP_004,Fe_T_PREP_004,N/A,N/A
MethodID_DataProcessing,N/A,N/A,N/A,SpC_T_DP_002,SpC_T_DP_002,SpC_T_DP_002,pH_T_DP_004,pH_T_DP_004,pH_T_DP_004,Temp_T_DP_001,Temp_T_DP_001,Temp_T_DP_001,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,INC_T_DP_008,Fe_T_DP_004,Fe_T_DP_004,Fe_T_DP_004,Fe_T_DP_004,Fe_T_DP_004,Fe_T_DP_004,N/A,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0-0.014,0-0.014,0-0.014,-9999,-9999,-9999,N/A,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A,N/A
#Start_Data,EV_001-D,10.58052/IEWDR023A,Sediment,1136.5,1139.25,10.689,6.235,6.24,0.209,20.55,20.425,0.359,-247.2,-245.1,9.619,-1131.412,-1128.327,37.744,0.77,0.77,0,0.585,0.585,0.021,0.078,0.075,0.015,0.359,0.345,0.068,TRUE,TRUE
N/A,EV_001-W,10.58052/IEWDR023A,Sediment,1113,1116.5,12.793,6.51,6.515,0.172,20.6,20.675,0.222,-254.445,-252.495,5.141,-1159.938,-1155.153,20.202,1.04,1.04,0,1.04,1.04,0,0.102,0.095,0.023,0.458,0.435,0.104,TRUE,TRUE
N/A,EV_002-D,10.58052/IEWDR023B,Sediment,353.5,351.22,7.408,6.57,6.438,0.291,20.7,20.6,0.283,-5.216,-4.982,1.031,-19.121,-18.397,3.848,0.01,0.01,0,0.01,0.01,0,0.036,0.041,0.012,0.134,0.153,0.044,FALSE,FALSE
N/A,EV_002-W,10.58052/IEWDR023B,Sediment,382.9,382.66,5.359,6.72,6.742,0.061,20.8,20.82,0.084,-255.99,-250.794,7.115,-921.343,-925.025,21.549,0.81,0.81,0,0.81,0.81,0,0.11,0.119,0.019,0.408,0.439,0.076,FALSE,FALSE
N/A,EV_005-D,10.58052/IEWDR023C,Sediment,1546,1552,20.187,6.68,6.75,0.293,20.6,20.6,0.1,-250.2,-248.958,14.23,-1202.663,-1188.876,70.094,0.84,0.84,0,0.65,0.642,0.028,0.178,0.194,0.202,0.849,0.923,0.963,TRUE,TRUE
N/A,EV_005-W,10.58052/IEWDR023C,Sediment,1493,1487.4,60.904,6.75,6.684,0.174,20.5,20.54,0.152,-262.245,-251.367,15.641,-1233.612,-1209.522,78.616,1.11,1.11,0,1.11,1.11,0,0.054,0.17,0.23,0.253,0.826,1.123,TRUE,TRUE
N/A,EV_006-D,10.58052/IEWDR023D,Sediment,1101,1110,52.139,6.47,6.488,0.151,20.6,20.56,0.219,-229.8,-228.54,27.267,-1408.809,-1407.186,171.741,1.34,1.34,0,0.96,0.966,0.09,0.133,0.134,0.027,0.816,0.825,0.166,FALSE,FALSE
N/A,EV_006-W,10.58052/IEWDR023D,Sediment,1118,1017.18,205.043,6.33,6.348,0.168,20.7,20.64,0.182,-203.1,-214.938,46.413,-1252.766,-1340.197,295.933,1.69,1.688,0.004,1.69,1.688,0.004,0.166,0.176,0.056,1.031,1.094,0.353,FALSE,FALSE
N/A,EV_007-D,10.58052/IEWDR023E,Sediment,950.95,957.375,49.591,7.28,7.285,0.026,21.1,21.1,0,-118.109,-125.533,140.493,-473.46,-503.722,563.514,0.56,0.56,0,0.43,0.428,0.005,0.056,0.062,0.025,0.226,0.248,0.098,TRUE,TRUE
N/A,EV_007-W,10.58052/IEWDR023E,Sediment,874.85,875.975,14.734,7.785,7.94,0.601,21.1,21.1,0,-236.85,-213.375,59.074,-983.072,-887.774,251.415,0.8,0.8,0,0.8,0.8,0,0.076,0.089,0.03,0.318,0.37,0.128,TRUE,TRUE
N/A,EV_008-D,10.58052/IEWDR023F,Sediment,332.3,331.46,2.105,7.91,7.914,0.082,21.2,21.08,0.217,-1.479,-1.54,0.139,-5.192,-5.431,0.462,0.03,0.03,0,0.02,0.02,0,0.103,0.108,0.035,0.361,0.381,0.126,FALSE,FALSE
N/A,EV_008-W,10.58052/IEWDR023F,Sediment,359.5,359.24,12.017,8.29,8.37,0.447,21,21.02,0.179,-121.8,-95.354,56.782,-436.757,-336.867,200.579,0.64,0.602,0.058,0.64,0.602,0.058,0.083,0.085,0.013,0.295,0.301,0.044,FALSE,FALSE
N/A,EV_009-D,10.58052/IEWDR023G,Sediment,479.8,469.14,23.141,7.38,7.406,0.058,21.2,21.2,0.1,-2.597,-2.645,0.18,-11.986,-12.041,0.731,0.04,0.04,0,0.04,0.04,0,0.04,0.038,0.003,0.183,0.175,0.015,FALSE,FALSE
N/A,EV_009-W,10.58052/IEWDR023G,Sediment,528.6,520.62,32.344,7.37,7.346,0.069,21.2,21.26,0.134,-262.245,-254.607,14.377,-1173.654,-1151.135,62.878,0.9,0.926,0.046,0.9,0.926,0.046,0.081,0.081,0.024,0.366,0.363,0.109,FALSE,FALSE
N/A,EV_010-D,10.58052/IEWDR023H,Sediment,1162,1166.6,19.034,7.17,7.198,0.083,21.2,21.16,0.114,-262.245,-260.256,4.448,-1701.214,-1699.579,35.529,1.45,1.45,0,1.19,1.164,0.063,0.124,0.118,0.017,0.803,0.774,0.114,FALSE,FALSE
N/A,EV_010-W,10.58052/IEWDR023H,Sediment,1114,1119.6,10.213,7.11,7.154,0.069,21.3,21.34,0.055,-262.245,-262.245,0,-1683.113,-1682.674,12.816,1.92,1.916,0.023,1.92,1.916,0.023,0.135,0.134,0.015,0.861,0.856,0.103,TRUE,TRUE
N/A,EV_011-D,10.58052/IEWDR023I,Sediment,1003.5,973.05,102.327,7.185,7.182,0.156,21,21,0.082,-13.2,-12.72,3.063,-44.092,-42.184,9.969,0.31,0.31,0,0.175,0.172,0.021,0.036,0.04,0.021,0.118,0.13,0.066,TRUE,TRUE
N/A,EV_011-W,10.58052/IEWDR023I,Sediment,823,823.4,38.524,6.87,6.895,0.12,21,21,0.082,-129,-136.8,55.815,-432.545,-453.072,183.502,0.51,0.51,0,0.51,0.51,0,0.097,0.108,0.031,0.324,0.357,0.105,TRUE,TRUE
N/A,EV_013-D,10.58052/IEWDR023K,Sediment,558.5,557.9,16.108,7.09,7.123,0.212,21,20.933,0.208,-4.143,-4.168,0.213,-15.929,-15.854,0.72,0.46,0.46,0,0.33,0.333,0.006,0.066,0.08,0.025,0.252,0.302,0.093,TRUE,TRUE
N/A,EV_013-W,10.58052/IEWDR023K,Sediment,478.5,480.267,3.502,7.25,7.263,0.101,21,21,0,-29.7,-56.606,57.842,-112.693,-213.573,216.307,0.61,0.623,0.032,0.61,0.623,0.032,0.228,0.223,0.04,0.88,0.848,0.147,TRUE,TRUE
N/A,EV_014-D,10.58052/IEWDR023L,Sediment,421.5,422.84,6.204,7.32,7.274,0.098,20.7,20.7,0.071,-10.835,-13.104,6.25,-39.403,-47.165,22.524,0.05,0.05,0,0.03,0.03,0,0.024,0.022,0.009,0.086,0.08,0.034,FALSE,FALSE
N/A,EV_014-W,10.58052/IEWDR023L,Sediment,512.3,510.68,12.379,7.15,7.142,0.088,20.8,20.76,0.207,-262.845,-260.676,4.85,-952.095,-941.587,18.116,0.99,0.994,0.011,0.99,0.994,0.011,0.056,0.054,0.028,0.201,0.193,0.103,FALSE,FALSE
N/A,EV_016-D,10.58052/IEWDR023N,Sediment,832.4,829.68,23.625,6.65,6.66,0.08,20.8,20.8,0.158,-248.7,-245.16,11.884,-3091.38,-3010.529,157.38,3.45,3.45,0,2.69,2.724,0.205,0.063,0.067,0.012,0.764,0.821,0.147,FALSE,FALSE
N/A,EV_016-W,10.58052/IEWDR023N,Sediment,799.9,802.54,12.038,6.81,6.808,0.043,20.8,20.76,0.055,-263.145,-261.396,3.911,-3221.622,-3214.613,34.226,4.13,4.136,0.009,4.13,4.136,0.009,0.074,0.074,0.013,0.9,0.915,0.158,FALSE,FALSE
N/A,EV_017-D,10.58052/IEWDR023O,Sediment,213.2,212.8,3.361,7.17,7.17,0.029,20.2,20.26,0.134,-257.4,-256.212,4.403,-1529.584,-1536.323,17.356,1.27,1.27,0,0.98,0.99,0.023,0.392,0.39,0.014,2.347,2.337,0.07,TRUE,TRUE
N/A,EV_017-W,10.58052/IEWDR023O,Sediment,217.8,218.06,4.778,7.15,7.114,0.229,20.4,20.4,0.071,-260.46,-257.748,6.064,-1564.522,-1551.089,39.653,1.27,1.27,0,1.27,1.27,0,0.39,0.391,0.076,2.347,2.353,0.46,FALSE,FALSE
N/A,EV_019-D,10.58052/IEWDR023P,Sediment,670.2,672.14,14.564,6.94,7.17,0.494,20.4,20.36,0.055,-260.46,-254.808,12.638,-1813.046,-1779.46,86.913,1.61,1.61,0,1.2,1.216,0.038,0.174,0.142,0.07,1.231,0.994,0.489,TRUE,TRUE
N/A,EV_019-W,10.58052/IEWDR023P,Sediment,663.8,658.26,13.374,6.7,6.724,0.174,20.4,20.38,0.045,-260.46,-260.46,0,-1825.94,-1820.689,13.279,1.74,1.742,0.004,1.74,1.742,0.004,0.185,0.19,0.019,1.299,1.325,0.126,FALSE,FALSE
