#Columns,16,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,SpC_microsiemens_per_cm,pH,Temperature_degC,Respiration_Rate_mg_DO_per_L_per_H,Respiration_Rate_mg_DO_per_kg_per_H,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Methods_Deviation
Unit,N/A,N/A,N/A,microsiemens_per_centimeter,pH,degrees_Celsius,milligrams_per_Liter_per_hour,milligrams_per_kilogram_per_hour,N/A,N/A,N/A,minutes,N/A,N/A,N/A,N/A
Unit_Basis,N/A,N/A,N/A,as_microsiemens_per_centimeter,as_pH,as_degrees_Celsius,as_mg_Oxygen_per_L_water_per_hour,as_mg_Oxygen_per_kg_sediment_per_hour,N/A,N/A,N/A,as_Minutes,N/A,N/A,N/A,N/A
MethodID_Analysis,N/A,N/A,N/A,SpC_T_AN_002,pH_T_AN_004,Temp_T_AN_001,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,INC_T_AN_007,N/A
MethodID_Inspection,N/A,N/A,N/A,SpC_T_IN_002,pH_T_IN_004,Temp_T_IN_001,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,INC_T_IN_007,N/A
MethodID_Storage,N/A,N/A,N/A,SpC_T_ST_002,pH_T_ST_004,Temp_T_ST_001,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,INC_T_ST_007,N/A
MethodID_Preservation,N/A,N/A,N/A,SpC_T_PRES_002,pH_T_PRES_004,Temp_T_PRES_001,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,INC_T_PRES_007,N/A
MethodID_Preparation,N/A,N/A,N/A,SpC_T_PREP_002,pH_T_PREP_004,Temp_T_PREP_001,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,INC_T_PREP_007,N/A
MethodID_DataProcessing,N/A,N/A,N/A,SpC_T_DP_002,pH_T_DP_004,Temp_T_DP_001,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,INC_T_DP_007,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.093-0.104,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,EV_001_INC-D1,10.58052/IEWDR023A,Sediment,1154,6.21,20.5,-231.6,-1083.185,-9999,-9999,-9999,-9999,-9999,-9999,0.86,RATE_005
N/A,EV_001_INC-D2,10.58052/IEWDR023A,Sediment,1140,5.99,20.6,-247.2,-1150.094,-9999,-9999,-9999,-9999,-9999,-9999,0.34,RATE_005
N/A,EV_001_INC-D3,10.58052/IEWDR023A,Sediment,1133,6.26,20.7,-247.2,-1112.73,-9999,-9999,-9999,-9999,-9999,-9999,0.34,RATE_005
N/A,EV_001_INC-D4,10.58052/IEWDR023A,Sediment,1130,6.5,19.9,-254.4,-1167.3,-9999,-9999,-9999,-9999,-9999,-9999,0.1,RATE_005
N/A,EV_001_INC-D5,10.58052/IEWDR023A,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,INC_Method_001
