Parent_ID,AV1_Parent_ID,IGSN_Sample_Name,IGSN,Sample_Date,Sample_Latitude,Sample_Longitude,miniDOT_Start_Time,miniDOT_End_Time,Time_Zone,miniDOT_SN,pH,Contact_First_Name,Contact_Last_Name,Organization,Site_Name,Site_ID,Stream_Name,City,State,Weather,Intermittent_or_Perennial,Water_Status,General_Vegetation,Hydrogeomorphology,River_Gradient,Sediment,Water_Depth_cm,Depositional_Type,Canopy_Coverage,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,miniDOT_Notes,Additional_Sampling_Notes
EV_001,AV1_001,AV1_001_Sediment,10.58052/IEWDR023A, 2023-07-10,29.4586,-98.47398,9:46,11:46,Central Daylight Time (UTC-5),755115,8.25,Mariana,Vergara,The University of Texas at San Antonio (UTSA),San Antonio River - Brackenridge Park,SAR-BP,San Antonio River,San Antonio,Texas,Sunny,Perennial,Wet and Flowing,Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),8,Inside bend of stream,Full coverage,No coverage,No coverage,3-10 cm in some places,During sampling people and dogs entered the stream which could affect the data.,N/A
EV_002,AV1_002,AV1_002_Sediment,10.58052/IEWDR023B, 2023-07-11,29.59201,-98.60486,-9999,-9999,Central Daylight Time (UTC-5),-9999,-9999,Allison,Veach,The University of Texas at San Antonio (UTSA),Leon Creek at Valero Trail Head,LEC-VTH,Leon Creek,San Antonio,Texas,Sunny,Intermittent,Dry,Broadleaf evergreen tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),0,N/A,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,No sensor deployed only dry sediment was collected towards the side of the dry channel.,N/A
EV_005,AV1_005,AV1_005_Sediment,10.58052/IEWDR023C, 2023-08-01,29.775353,-98.709637,10:02,11:02,Central Daylight Time (UTC-5),421044,8,Allison,Veach,The University of Texas at San Antonio (UTSA),Menger Creek,MENC,Menger Creek,Boerne,Texas,Sunny,Perennial,Wet and Pooled,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),15,Shallow waters near the shore,Partial coverage,No coverage,No coverage,More than 10 cm in some places,Sensor deployed under large boulder in partial canopy downstream of a treated sewage water outfall point.,"Although water is present it is not ""flowing"" but more of a large pool. Sediments causing turbid water was an issue when sampling."
EV_006,AV1_006,AV1_006_Sediment,10.58052/IEWDR023D, 2023-07-31,29.631969,-98.609359,9:20,10:22,Central Daylight Time (UTC-5),738321,8,Allison,Veach,The University of Texas at San Antonio (UTSA),Leon Creek at Raymond Russel Park,LEC-RRP,Leon Creek,San Antonio,Texas,Sunny,Intermittent,Wet and Pooled,Broadleaf deciduous tree; Not vegetated,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Bedrock (primarily),23,Side of drying intermittent pool,Partial coverage,No coverage,Full coverage,More than 10 cm in some places,Drying pool that is not flowing; a lot of green algae mats. Smells of sulfur therefore anoxia likely.,N/A
EV_007,AV1_007,AV1_007_Sediment,10.58052/IEWDR023E, 2023-08-14,29.397379,-98.418744,9:39,10:59,Central Daylight Time (UTC-5),310845,8,Mariana,Vergara,The University of Texas at San Antonio (UTSA),Salado Creek at Covington,SAC-C,Salado Creek,San Antonio,Texas,Sunny,Perennial,Wet and Flowing,Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Sand,15,Inside bend of stream,Full coverage,Partial coverage,Partial coverage,More than 10 cm in some places,N/A,N/A
EV_008,AV1_008,AV1_008_Sediment,10.58052/IEWDR023F, 2023-08-14,29.479885,-98.479996,-9999,-9999,Central Daylight Time (UTC-5),-9999,-9999,Mariana,Vergara,The University of Texas at San Antonio (UTSA),Olmos Creek - Devon Rd.,OLC-DR,Olmos Creek,San Antonio,Texas,Sunny,Intermittent,Dry,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),0,Near the shore of dry bed,Full coverage,No coverage,No coverage,1-3 cm as described in the protocol,N/A,Dry stream sediments collected near edge of channel.
EV_009,AV1_009,AV1_009_Sediment,10.58052/IEWDR023G, 2023-08-22,29.542087,-98.631869,-9999,-9999,Central Daylight Time (UTC-5),-9999,-9999,Allison,Veach,The University of Texas at San Antonio (UTSA),Leon Creek at Prue Road,LEC-PR,Leon Creek,San Antonio,Texas,Overcast,Intermittent,Dry,Broadleaf deciduous tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),0,Side of dry bed,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Not flowing; took sediment samples at the side of the dry channel.,N/A
EV_010,AV1_010,AV1_010_Sediment,10.58052/IEWDR023H, 2023-08-22,29.390361,-98.667079,10:32,11:26,Central Daylight Time (UTC-5),629457,7.75,Allison,Veach,The University of Texas at San Antonio (UTSA),Medio Creek,MEDC,Medio Creek,San Antonio,Texas,Overcast,Perennial,Wet and Flowing,Grass; Not vegetated,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),30,Shallow waters near the shore,Full coverage,No coverage,No coverage,More than 10 cm in some places,We had to end early; the DO probe did not go for quite 60 minutes.,Wastewater fed stream.
EV_011,AV1_011,AV1_011_Sediment,10.58052/IEWDR023I, 2023-09-04,29.414842,-98.514739,10:15,11:15,Central Daylight Time (UTC-5),654896,8,Allison,Veach,The University of Texas at San Antonio (UTSA),Apache Creek,APAC,Apache Creek,San Antonio,Texas,Sunny,Perennial,Wet and Flowing,Shrub; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),5,Shallow waters near the shore,Partial coverage,No coverage,No coverage,3-10 cm in some places,N/A,Sediment collection was difficult; we collected all throughout the study reach on the side of the channel.
EV_013,AV1_013,AV1_013_Sediment,10.58052/IEWDR023K, 2023-09-05,29.434045,-98.519132,11:16,11:58,Central Daylight Time (UTC-5),284528,7.5,Allison,Veach,The University of Texas at San Antonio (UTSA),Alazan Creek,ALAC,Alazan Creek,San Antonio,Texas,Sunny,Perennial,Wet and Flowing,Grass; Not vegetated,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),3,Shallow waters near the shore,No coverage,Partial coverage,Partial coverage,1-3 cm as described in the protocol,Sensor deployed for less than 60 mins.,No sediment collection picture.
