Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code
62948_Final_Gravimetric_Moisture_g_per_g,grams per gram,"Final gravimetric moisture in less than 2 millimeter sediment samples after 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
62948_Gravimetric_Moisture_g_per_g,grams per gram,"Gravimetric moisture time series in less than 2 millimeter sediment samples during 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
62948_Initial_Gravimetric_Moisture_g_per_g,grams per gram,"Initial gravimetric moisture in less than 2 millimeter sediment samples of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Added_Water_Mass_g,grams,"The mass of water added to the wet treatment vial during the 21 day wet/dry experiment to maintain constant water mass. Dry treatment samples will have ""-9999"" in this column indicating that no water was added. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Additional_Sampling_Notes,N/A,Additional notes about any of the sampling (relevant field conditions; deviations from protocol; major hydromorphic features).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Algal_Mat_Coverage,N/A,Estimated algal mat cover on riverbed. One of the following classes may be selected: full; partial; or no coverage.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Analysis_DetectionLimit,N/A,Analytical detection limit.,numeric,row_header,"""N/A""; ""-9999""; """"; ""NA"""
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header,"""N/A""; ""-9999""; """"; ""NA"""
AV1_Parent_ID,N/A,Parent ID from the source field sample associated with the WHONDRS Allison Veach Collaboration (AV1). See the readme for additional details.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Canopy_Coverage,N/A,Estimated canopy coverage over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: full; partial; or no coverage.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
City,N/A,City.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Column_or_Row_Name,N/A,Column or row headers from each tabular file (csv or tsv) in the dataset.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Column_or_Row_Name_Position,N/A,"The location of the column or row that contains the header names (i.e., column name or row name). The count used to identify the location assumes the numbering begins at 1 (rather than 0) and excludes columns or rows that begin with ""#"". Most data in this data package is oriented in columns, so this field indicates the tabular location of the row that holds the column names (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 1 - to indicate the location of the column header row).",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Contact_First_Name,N/A,Contact first name.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Contact_Last_Name,N/A,Contact last name.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Data_Status,N/A,State of data readiness for publication and use.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Date,YYYY-MM-DD,Date.,date,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Definition,N/A,Description of the information in a given column or row in the dataset.definition,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Depositional_Type,N/A,Depositional zone type. From provided controlled vocabulary with option to write in other terms.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Dissolved_Oxygen_mg_per_L,milligrams per liter,"Dissolved oxygen measurement from laboratory incubation. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
DO_Concentration_At_Incubation_Time_Zero,milligrams per liter,"The first dissolved oxygen measurement of the sediment incubation used in the respiration calculation. The timepoint of this initial value varies. The methods codes in the raw dissolved oxygen file and methods deviation codes in the respiration file indicate if the value was or was not used in the respiration calculation and the reasoning. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Dry_Sediment_Mass_g,grams,"Sediment dry mass. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Fe_mg_per_kg,milligrams per kilogram,"Effect size of iron (II) data in milligrams per kilogram. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Fe_mg_per_L,milligrams per liter,"Effect size of iron (II) data in milligrams per liter. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Final_Gravimetric_Moisture_g_per_g,milligrams per kilogram per hour,"Effect size of final gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Initial_Gravimetric_Moisture_g_per_g,milligrams per liter per hour,"Effect size of initial gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_pH,pH,"Effect size of pH. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
