File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
readme_WHONDRS_EV.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,-9999,-9999,/WHONDRS_EV_Data_Package
WHONDRS_EV_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/WHONDRS_EV_Data_Package
WHONDRS_EV_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/WHONDRS_EV_Data_Package
WHONDRS_AV1_Field_Protocol.pdf,Step-by-step instructions used to complete the sampling in the field.,N/A,-9999,-9999,/WHONDRS_EV_Data_Package
WHONDRS_EV_Field_Metadata.csv,Metadata for each set of samples collected at a given point in space and time. Each row generally refers to a set of many vials collected for different analysis and often includes five replicates per analysis per treatment that are each named with the same sample name and each have a replicate identifier appended to the end to create a unique identifier (e.g. EV_005 provides information for all samples that start with EV_005). The metadata file provides accompanying information captured in the field (i.e. coordinates; date; weather; etc.).,ESS-DIVE CSV v1,1,1,/WHONDRS_EV_Data_Package
WHONDRS_EV_Methods_Codes.csv,Definitions of methods codes used in sample data files. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Water; Soil; and Sediment Chemistry data (Boye et al. 2022).,ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,1,1,/WHONDRS_EV_Data_Package/Sample_Data
WHONDRS_EV_Sediment_Effect_Size.csv,"Effect size of treatment between inundated (wet treatment) and dried and rewetted samples (dry treatment); calculated as the median or mean of the wet treatment minus the median or mean of the dry treatment of the specified data type. The sample name is the Parent_ID followed by ""_all"" which indicates all samples were used in this calculation. See methods deviation for indication of any removed data. Methods information is embedded with methods codes that are defined in WHONDRS_EV_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Water; Soil; and Sediment Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,/WHONDRS_EV_Data_Package/Sample_Data
WHONDRS_EV_Sediment_Fe.csv,Iron (II) data in less than 2 millimeter sediment samples. Methods information is embedded with methods codes that are defined in WHONDRS_EV_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Water; Soil; and Sediment Chemistry data (Boye et al. 2022).,ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,/WHONDRS_EV_Data_Package/Sample_Data
WHONDRS_EV_Sediment_Gravimetric_Moisture.csv,"Initial and final water mass, incubation water mass, dry sediment mass, and initial and final gravimetric moisture in less than 2 millimeter sediment samples calculated from 21 day moisture time series found in ""WHONDRS_EV_Sediment_Gravimetric_Moisture_Time_Series.csv"". Methods information is embedded with methods codes that are defined in WHONDRS_EV_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Water; Soil; and Sediment Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,/WHONDRS_EV_Data_Package/Sample_Data
WHONDRS_EV_Sediment_Gravimetric_Moisture_Time_Series.csv,"21 day gravimetric moisture time series data. These data are summarized in ""WHONDRS_EV_Sediment_Gravimetric_Moisture.csv"". Methods information is embedded with methods codes that are defined in WHONDRS_EV_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Water; Soil; and Sediment Chemistry data (Boye et al. 2022).",ESS-DIVE Water-Soil-Sediment Chem v1; ESS-DIVE CSV v1,12,1,/WHONDRS_EV_Data_Package/Sample_Data
