"","cube_Effect_Size_Respiration_Rate_mg_DO_per_kg_per_H","cube_Effect_Size_SpC_microsiemens_per_cm","cube_Effect_Size_pH","cube_Effect_Size_Temperature_degC","cube_Effect_Size_Fe_mg_per_kg","cube_Effect_Size_ATP_picomoles_per_g","cube_Effect_Size_Extractable_NPOC_mg_per_kg","cube_Effect_Size_Extractable_TN_mg_per_kg","cube_Effect_Size_C_percent_per_mg","cube_Effect_Size_N_percent_per_mg","cube_Percent_Tot_Sand","cube_Percent_Coarse_Sand","cube_Percent_Med_Sand","cube_Percent_Fine_Sand","cube_Percent_Clay","cube_Mean_Specific_Surface_Area_m2_per_g","cube_Median_SpC_microsiemens_per_cm","cube_Median_pH","cube_Median_Temperature_degC","cube_Median_ATP_picomoles_per_g","cube_Median_Fe_mg_per_kg","cube_Median_X01395_C_percent_per_mg","cube_Median_X01397_N_percent_per_mg","cube_Median_Extractable_NPOC_mg_per_kg","cube_Median_Extractable_TN_mg_per_kg","cube_median_Dry_Initial_Gravimetric","cube_median_Dry_Final_Gravimetric"
"EC_005_all",1.03726103752815,0,0.506579701910089,-0.464158883361278,0.464158883361278,-1.33513644936912,-0.788373516310524,-0.448140474655716,0.271441761659491,-0.412128529980856,4.57248859346899,3.22044205188375,3.83041155219112,1.81712059283214,0.736806299728077,2.01546346581212,4.86857580275209,1.9014762303807,2.75233960677354,2.4738609866282,0.876121012173927,0.646330407009565,0.574889707894483,2.07157464572054,1.3785856825619,0.646330407009565,0.506579701910089
"EC_009_all",2.03424367251895,-1.20507113208762,-0.215443469003188,0.464158883361278,0.228942848510666,-3.18107317127417,1.08576704663796,-1.04158043730656,-0.464158883361278,0.368403149864039,4.32852853371075,2.36928450215677,3.31411159268694,3.15483426687613,1.1186889420814,2.62437626903947,4.00291454251137,1.79204306736418,2.71215371427973,4.57814141199411,0.83106941071041,0.904504169651028,0.589636853997037,2.33341269571336,1.25358968148155,0.711378660898013,0.612692567522842
"EC_013_all",3.98421907245742,1.80696886932119,-0.584803547642573,-0.66943295008217,-0.125992104989487,-0.879365934431636,-0.989898299249129,-1.46744678424856,0.654213262037718,0.215443469003188,4.50780538354402,4.34448148576861,1.60052066388316,1.76517416766303,1.06265856918261,1.77294942726219,7.58713196423197,1.93499328964282,2.78064888326062,2.70943203285874,1.08207875806342,1.1816657504675,0.60822019955734,3.49304742268291,3.36624617606692,1.00662270956011,0.958283971412557
"EC_014_all",6.58186404569132,-2.91227456856365,0.553965825675446,-0.464158883361278,-0.685412400183263,-3.54074824320874,-1.81913737649947,-1.14725241991549,0.553965825675446,0.368403149864039,4.514357435474,3.51692482799883,3.4705003610919,1.88520363102099,1.39247665008383,1.73701960391759,4.86576159645872,1.89221188740612,2.76111206324283,3.19435854981532,0.905521610519653,0.760590492152278,0.708069875108501,2.76852506550634,1.63615597813816,0.848092608848811,0.798956974045401
"EC_017_all",1.13703136514059,0.96548938460563,0.742895884144657,-0.464158883361278,0.585776600265065,1.62234279734568,-0.341995189335339,-1.6521856557036,-0.271441761659491,0,4.5613010548288,4.12520660122242,2.65900579046917,1.80696886932119,1.56049075070788,2.46011368368804,6.54252200985613,1.8576020279109,2.74793233004751,2.91404208340292,0.658084436524139,0.589636853997037,0.271441761659491,1.80082266921874,1.42358020070811,0.629960524947437,0.493242414866094
"EC_018_all",1.2159896986662,-2.21041889918423,-0.621446501190772,0.271441761659491,0.506579701910089,-0.94726823718591,0.629960524947437,-1.84004883298249,-0.271441761659491,0,4.62294771375817,4.50780538354402,1.65096362444731,1.39247665008383,1.06265856918261,1.29960540292006,8.11753555081146,1.87102863136577,2.75936203136012,1.37330369328893,0.510446872200146,0.646330407009565,0.215443469003188,2.17963296573092,1.94164737670689,0.7937005259841,0.748887238721851
"EC_021_all",0.809775886785701,-3.03658897187566,0.493242414866094,-0.464158883361278,-0.323961180127748,0.691042323001118,-0.96548938460563,-2.06612310829301,-0.271441761659491,0.215443469003188,4.58044629938303,3.68403149864039,3.33522115286161,2.0800838230519,1.57406091663144,1.81287071291601,10.5462809679147,1.95525647304703,2.75013773414828,2.05907143873471,0.49799194623621,0.553965825675446,0.215443469003188,2.79159896868085,2.57480596772162,0.638250429885991,0.51924941018511
"EC_022_all",3.03886470765518,-2.46291939741856,0.638250429885991,-0.7937005259841,0.715309009504067,-0.612692567522842,1.12924323465723,-2.120138830353,-0.448140474655716,-0.310723250595386,4.50123422935426,2.90439286678185,3.77976314968462,2.33310655392348,1.39247665008383,3.16065093677799,4.25072651939614,1.87719742370279,2.76765500728892,3.50244726801565,0.776117015690793,0.708069875108501,0.584803547642573,1.76837775757274,1.03228011545637,0.654213262037718,0.542883523318981
"EC_024_all",1.65340588188993,-3.13799918513596,0.574889707894483,-0.464158883361278,0.382586236554478,-1.98657677675854,-0.271441761659491,-1.82815803992201,-0.271441761659491,-0.564621617328617,4.58679261342155,4.37255645860744,2.05671011620596,1.61342864602454,1.50369459620497,1.68651382708622,6.15036682325187,1.85275945633911,2.7828027562235,3.69138487443647,0.48417082966445,0.721124785153704,0.531329284591306,1.88894783873437,1.71054574876708,0.553965825675446,0.430886938006377
"EC_027_all",10.8185495121252,-3.60882608013869,-0.542883523318981,-0.66943295008217,0.454683594377634,-0.920516408251589,-1.16225088121617,-0.998330547813691,-0.683990378670679,-0.629960524947437,4.17169171507477,1.03228011545637,2.92401773821287,3.5959831740739,2.50399361701224,3.24170666576192,10.2835505810298,1.91792817603036,2.78495330016767,2.53055828785194,0.765172473108956,1.12924323465723,0.612692567522842,3.02351884322233,1.65948016819319,1,0.892112140445635
