Parent_ID,Name
EC_071,D06 - Prairie Peninsula
EC_027,D03 - Southeast
EV_009,D11 - Southern Plains
EC_095,D07 - Appalachians & Cumberland Plateau
EV_025,D11 - Southern Plains
EV_026,D11 - Southern Plains
EC_078,D02 - Mid Atlantic
EV_014,D11 - Southern Plains
EV_002,D11 - Southern Plains
EC_040,D03 - Southeast
EC_088,D16 - Pacific Northwest
EC_034,D05 - Great Lakes
EC_082,D03 - Southeast
EC_064,D08 - Ozarks Complex
EV_021,D11 - Southern Plains
EC_075,D03 - Southeast
EC_069,D15 - Great Basin
EC_081,D03 - Southeast
EC_085,D02 - Mid Atlantic
EC_084,D13 - Southern Rockies & Colorado Plateau
EV_007,D11 - Southern Plains
EV_029,D11 - Southern Plains
EC_041,D07 - Appalachians & Cumberland Plateau
EV_027,D11 - Southern Plains
EC_076,D06 - Prairie Peninsula
EV_008,D11 - Southern Plains
EC_090,D17 - Pacific Southwest
EC_094,D01 - Northeast
EC_091,D03 - Southeast
EV_011,D11 - Southern Plains
EV_022,D11 - Southern Plains
EC_014,D02 - Mid Atlantic
EC_032,D09 - Northern Plains
EV_016,D11 - Southern Plains
EV_013,D11 - Southern Plains
EC_072,D11 - Southern Plains
EC_068,D03 - Southeast
EC_013,D05 - Great Lakes
EC_038,D01 - Northeast
EV_017,D11 - Southern Plains
EV_005,D11 - Southern Plains
EV_001,D11 - Southern Plains
EC_022,D16 - Pacific Northwest
EV_023,D11 - Southern Plains
EC_080,D03 - Southeast
EC_063,D01 - Northeast
EC_065,D08 - Ozarks Complex
EV_019,D11 - Southern Plains
EC_044,D01 - Northeast
EC_073,D01 - Northeast
EC_042,D07 - Appalachians & Cumberland Plateau
EC_009,D17 - Pacific Southwest
EC_070,D01 - Northeast
EC_092,D03 - Southeast
EC_089,D14 - Desert Southwest
EC_024,D02 - Mid Atlantic
EC_051,D16 - Pacific Northwest
EC_039,D11 - Southern Plains
EC_018,D10 - Central Plains
EC_093,D05 - Great Lakes
EC_017,D12 - Northern Rockies
EC_037,D01 - Northeast
EC_005,D16 - Pacific Northwest
EC_066,D01 - Northeast
EC_021,D14 - Desert Southwest
EC_074,D15 - Great Basin
EC_033,D14 - Desert Southwest
EC_035,D06 - Prairie Peninsula
EC_056,D08 - Ozarks Complex
EV_030,D11 - Southern Plains
EV_028,D11 - Southern Plains
EV_020,D11 - Southern Plains
EV_031,D11 - Southern Plains
EV_010,D11 - Southern Plains
EV_024,D11 - Southern Plains
EV_006,D11 - Southern Plains
